Forward Industries PE Ratio Historical Data,Forward Industries PE Ratio Historical Data,Forward Industries PE Ratio Historical Data,Forward Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.72,,0.0
2024-12-31,4.95,$-1.50,0.0
2024-09-30,3.73,$-1.26,0.0
2024-06-30,4.76,$-1.26,0.0
2024-03-31,6.07,$-1.40,0.0
2023-12-31,7.29,$-1.80,0.0
2023-09-30,7.6,$-1.80,0.0
2023-06-30,9.6,$-2.60,0.0
2023-03-31,11.15,$-2.50,0.0
2022-12-31,10.72,$-2.00,0.0
2022-09-30,13.3,$-1.40,0.0
2022-06-30,14.7,$-0.70,0.0
2022-03-31,17.2,$-0.10,0.0
2021-12-31,15.6,$-0.50,0.0
2021-09-30,23.9,$0.50,47.8
2021-06-30,29.6,$0.50,59.2
2021-03-31,28.5,$0.10,285.0
2020-12-31,18.2,$-0.50,0.0
2020-09-30,13.9,$-1.80,0.0
2020-06-30,13.0,$-3.60,0.0
2020-03-31,11.1,$-3.50,0.0
2019-12-31,9.9,$-3.30,0.0
2019-09-30,9.7,$-3.80,0.0
2019-06-30,11.5,$-1.70,0.0
2019-03-31,14.8,$-1.40,0.0
2018-12-31,13.0,$0.80,16.25
2018-09-30,15.3,$1.50,10.2
2018-06-30,16.2,$1.50,10.8
2018-03-31,14.2,$1.90,7.47
2017-12-31,12.3,$0.60,20.5
2017-09-30,12.29,$0.70,17.56
2017-06-30,10.5,$0.70,15.0
2017-03-31,11.88,$0.20,59.4
2016-12-31,12.5,$0.70,17.86
2016-09-30,14.9,$0.80,18.63
2016-06-30,11.8,$0.60,19.67
2016-03-31,12.9,$1.10,11.73
2015-12-31,14.8,$0.10,148.0
2015-09-30,13.55,$-2.50,0.0
2015-06-30,6.89,$-2.50,0.0
2015-03-31,7.9,$-3.10,0.0
2014-12-31,10.4,$-2.70,0.0
2014-09-30,13.3,0,0.0
2014-06-30,12.2,0,0.0
2014-03-31,19.6,$-0.30,0.0
2013-12-31,15.5,$0.30,51.67
2013-09-30,18.7,$0.10,187.01
2013-06-30,19.0,$0.10,190.0
2013-03-31,20.5,$-3.70,0.0
2012-12-31,14.8,$-5.80,0.0
2012-09-30,11.7,$-7.90,0.0
2012-06-30,17.4,$-10.00,0.0
2012-03-31,23.7,$-6.70,0.0
2011-12-31,16.7,$-5.50,0.0
2011-09-30,22.5,$-3.60,0.0
2011-06-30,26.6,$-3.20,0.0
2011-03-31,39.1,$-2.40,0.0
2010-12-31,32.2,$-1.80,0.0
2010-09-30,37.3,$-2.00,0.0
2010-06-30,31.1,$-0.40,0.0
2010-03-31,30.5,$-0.50,0.0
2009-12-31,21.0,$-1.70,0.0
