Inotiv PE Ratio Historical Data,Inotiv PE Ratio Historical Data,Inotiv PE Ratio Historical Data,Inotiv PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.82,,0.0
2024-12-31,4.14,$-4.61,0.0
2024-09-30,1.7,$-4.19,0.0
2024-06-30,1.66,$-3.84,0.0
2024-03-31,10.94,$-2.77,0.0
2023-12-31,3.67,$-1.30,0.0
2023-09-30,3.08,$-4.11,0.0
2023-06-30,4.77,$-13.27,0.0
2023-03-31,4.33,$-13.49,0.0
2022-12-31,4.94,$-13.34,0.0
2022-09-30,16.85,$-13.86,0.0
2022-06-30,9.6,$-4.26,0.0
2022-03-31,26.18,$-4.26,0.0
2021-12-31,42.07,$-4.08,0.0
2021-09-30,29.24,$-0.18,0.0
2021-06-30,26.68,$-0.40,0.0
2021-03-31,20.0,$-0.33,0.0
2020-12-31,12.3,$-0.32,0.0
2020-09-30,4.78,$-0.42,0.0
2020-06-30,5.02,$-0.23,0.0
2020-03-31,3.26,$-0.19,0.0
2019-12-31,4.95,$-0.20,0.0
2019-09-30,3.59,$-0.08,0.0
2019-06-30,2.0,$-0.13,0.0
2019-03-31,2.07,$-0.10,0.0
2018-12-31,1.27,$-0.03,0.0
2018-09-30,1.61,$-0.02,0.0
2018-06-30,1.65,0,0.0
2018-03-31,1.6,$0.04,40.0
2017-12-31,2.45,$0.08,30.63
2017-09-30,1.76,$0.08,22.0
2017-06-30,1.66,$-0.17,0.0
2017-03-31,1.39,$-0.25,0.0
2016-12-31,0.77,$-0.33,0.0
2016-09-30,1.15,$-0.39,0.0
2016-06-30,1.17,$-0.23,0.0
2016-03-31,1.17,$-0.02,0.0
2015-12-31,1.52,0,0.0
2015-09-30,1.69,$0.07,24.14
2015-06-30,2.01,$0.11,18.27
2015-03-31,2.03,$-0.03,0.0
2014-12-31,2.18,$-0.05,0.0
2014-09-30,2.31,$-0.15,0.0
2014-06-30,2.53,$-0.07,0.0
2014-03-31,2.51,$-0.02,0.0
2013-12-31,2.71,$-0.01,0.0
2013-09-30,1.35,$0.10,13.5
2013-06-30,1.43,$-0.25,0.0
2013-03-31,1.64,$-0.42,0.0
2012-12-31,1.36,$-0.67,0.0
2012-09-30,1.3,$-0.90,0.0
2012-06-30,0.9,$-0.68,0.0
2012-03-31,1.29,$-1.23,0.0
2011-12-31,1.25,$-0.86,0.0
2011-09-30,1.19,$-0.59,0.0
2011-06-30,1.98,$-0.55,0.0
2011-03-31,2.29,$0.16,14.31
2010-12-31,2.52,$-0.19,0.0
2010-09-30,1.0,$-0.55,0.0
2010-06-30,0.93,$-0.78,0.0
2010-03-31,1.29,$-0.97,0.0
2009-12-31,1.04,$-1.09,0.0
