TrustCo Bank Corp NY PE Ratio Historical Data,TrustCo Bank Corp NY PE Ratio Historical Data,TrustCo Bank Corp NY PE Ratio Historical Data,TrustCo Bank Corp NY PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,30.67,,11.93
2024-12-31,33.31,$2.57,12.96
2024-09-30,32.74,$2.50,13.1
2024-06-30,28.18,$2.59,10.88
2024-03-31,27.22,$2.79,9.76
2023-12-31,29.62,$3.08,9.62
2023-09-30,25.69,$3.66,7.02
2023-06-30,26.6,$3.90,6.82
2023-03-31,29.32,$3.97,7.38
2022-12-31,34.17,$3.93,8.69
2022-09-30,28.29,$3.68,7.69
2022-06-30,27.48,$3.54,7.76
2022-03-31,28.14,$3.36,8.38
2021-12-31,29.06,$3.22,9.02
2021-09-30,27.59,$3.07,8.99
2021-06-30,29.36,$2.95,9.95
2021-03-31,31.18,$2.80,11.14
2020-12-31,27.96,$2.75,10.17
2020-09-30,21.64,$2.75,7.87
2020-06-30,25.94,$2.75,9.43
2020-03-31,21.95,$2.90,7.57
2019-12-31,34.84,$2.95,11.81
2019-09-30,32.49,$3.10,10.48
2019-06-30,31.3,$3.15,9.93
2019-03-31,30.39,$3.20,9.5
2018-12-31,26.65,$3.20,8.33
2018-09-30,32.71,$2.75,11.9
2018-06-30,34.0,$2.60,13.08
2018-03-31,32.04,$2.45,13.08
2017-12-31,34.61,$2.25,15.38
2017-09-30,33.25,$2.40,13.85
2017-06-30,28.72,$2.30,12.48
2017-03-31,28.83,$2.20,13.1
2016-12-31,31.89,$2.20,14.49
2016-09-30,25.63,$2.20,11.65
2016-06-30,22.96,$2.20,10.44
2016-03-31,21.49,$2.20,9.77
2015-12-31,21.53,$2.20,9.79
2015-09-30,20.27,$2.20,9.22
2015-06-30,24.13,$2.20,10.97
2015-03-31,23.39,$2.25,10.39
2014-12-31,24.44,$2.30,10.63
2014-09-30,21.48,$2.30,9.34
2014-06-30,22.07,$2.30,9.6
2014-03-31,23.02,$2.20,10.46
2013-12-31,23.26,$2.10,11.07
2013-09-30,19.1,$2.05,9.32
2013-06-30,17.26,$2.00,8.63
2013-03-31,17.5,$2.00,8.75
2012-12-31,16.36,$2.00,8.18
2012-09-30,17.47,$1.95,8.96
2012-06-30,16.51,$1.95,8.47
2012-03-31,17.05,$1.95,8.74
2011-12-31,16.55,$1.95,8.49
2011-09-30,12.99,$1.95,6.66
2011-06-30,14.08,$2.00,7.04
2011-03-31,16.84,$1.95,8.64
2010-12-31,17.81,$1.90,9.38
2010-09-30,15.44,$2.00,7.72
2010-06-30,15.37,$1.95,7.88
2010-03-31,16.76,$1.85,9.06
2009-12-31,16.94,$1.80,9.41
