Pacific Biosciences Of California PE Ratio Historical Data,Pacific Biosciences Of California PE Ratio Historical Data,Pacific Biosciences Of California PE Ratio Historical Data,Pacific Biosciences Of California PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.26,,0.0
2024-09-30,1.7,$-1.46,0.0
2024-06-30,1.37,$-1.50,0.0
2024-03-31,3.75,$-1.14,0.0
2023-12-31,9.81,$-1.21,0.0
2023-09-30,8.35,$-1.27,0.0
2023-06-30,13.3,$-1.35,0.0
2023-03-31,11.58,$-1.39,0.0
2022-12-31,8.18,$-1.40,0.0
2022-09-30,5.81,$-1.34,0.0
2022-06-30,4.42,$-0.92,0.0
2022-03-31,9.1,$-0.81,0.0
2021-12-31,20.46,$-0.89,0.0
2021-09-30,25.55,$-0.21,0.0
2021-06-30,34.97,$-0.43,0.0
2021-03-31,33.31,$-0.37,0.0
2020-12-31,25.94,$0.09,288.22
2020-09-30,9.87,$-0.28,0.0
2020-06-30,3.45,$-0.33,0.0
2020-03-31,3.06,$-0.34,0.0
2019-12-31,5.14,$-0.55,0.0
2019-09-30,5.16,$-0.76,0.0
2019-06-30,6.05,$-0.76,0.0
2019-03-31,7.23,$-0.77,0.0
2018-12-31,7.4,$-0.77,0.0
2018-09-30,5.41,$-0.74,0.0
2018-06-30,3.55,$-0.74,0.0
2018-03-31,2.05,$-0.83,0.0
2017-12-31,2.64,$-0.89,0.0
2017-09-30,5.25,$-0.92,0.0
2017-06-30,3.56,$-0.92,0.0
2017-03-31,5.17,$-0.87,0.0
2016-12-31,3.8,$-0.84,0.0
2016-09-30,8.96,$-0.65,0.0
2016-06-30,7.04,$-0.44,0.0
2016-03-31,8.5,$-0.39,0.0
2015-12-31,13.13,$-0.43,0.0
2015-09-30,3.66,$-0.67,0.0
2015-06-30,5.76,$-0.82,0.0
2015-03-31,5.84,$-0.93,0.0
2014-12-31,7.84,$-0.94,0.0
2014-09-30,4.91,$-0.94,0.0
2014-06-30,6.18,$-1.12,0.0
2014-03-31,5.35,$-1.18,0.0
2013-12-31,5.23,$-1.27,0.0
2013-09-30,5.52,$-1.40,0.0
2013-06-30,2.53,$-1.50,0.0
2013-03-31,2.49,$-1.57,0.0
2012-12-31,1.7,$-1.70,0.0
2012-09-30,1.83,$-1.73,0.0
2012-06-30,2.17,$-1.86,0.0
2012-03-31,3.42,$-1.88,0.0
2011-12-31,2.8,$-2.04,0.0
2011-09-30,3.21,$-2.59,0.0
