Eli Lilly PE Ratio Historical Data,Eli Lilly PE Ratio Historical Data,Eli Lilly PE Ratio Historical Data,Eli Lilly PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,842.57,,71.95
2024-12-31,772.0,$11.71,65.93
2024-09-30,884.4,$9.25,95.61
2024-06-30,902.55,$8.12,111.15
2024-03-31,774.25,$6.79,114.03
2023-12-31,579.14,$5.80,99.85
2023-09-30,532.66,$5.52,96.5
2023-06-30,464.11,$7.19,64.55
2023-03-31,338.97,$6.29,53.89
2022-12-31,359.93,$6.90,52.16
2022-09-30,317.25,$6.66,47.64
2022-06-30,317.11,$6.27,50.58
2022-03-31,279.14,$6.75,41.35
2021-12-31,268.13,$6.14,43.67
2021-09-30,223.55,$6.56,34.08
2021-06-30,221.35,$6.67,33.19
2021-03-31,179.39,$6.69,26.81
2020-12-31,161.45,$6.80,23.74
2020-09-30,140.8,$6.12,23.01
2020-06-30,155.41,$6.16,25.23
2020-03-31,130.7,$6.05,21.6
2019-12-31,123.19,$8.76,14.06
2019-09-30,104.21,$8.22,12.68
2019-06-30,103.24,$7.97,12.95
2019-03-31,120.26,$6.28,19.15
2018-12-31,106.68,$3.13,34.08
2018-09-30,98.42,$0.45,218.71
2018-06-30,77.83,$-0.14,0.0
2018-03-31,70.09,$1.06,66.12
2017-12-31,75.95,$-0.20,0.0
2017-09-30,76.44,$2.11,36.23
2017-06-30,73.08,$2.31,31.64
2017-03-31,74.21,$2.07,35.85
2016-12-31,64.46,$2.58,24.98
2016-09-30,69.88,$2.30,30.38
2016-06-30,68.14,$2.32,29.37
2016-03-31,61.89,$2.17,28.52
2015-12-31,71.92,$2.26,31.82
2015-09-30,70.99,$2.21,32.12
2015-06-30,70.4,$1.93,36.48
2015-03-31,60.84,$2.05,29.68
2014-12-31,57.37,$2.23,25.72
2014-09-30,53.53,$2.50,21.41
2014-06-30,50.91,$3.14,16.21
2014-03-31,47.81,$3.57,13.39
2013-12-31,41.05,$4.31,9.52
2013-09-30,40.12,$4.38,9.16
2013-06-30,38.81,$4.45,8.72
2013-03-31,44.48,$4.17,10.67
2012-12-31,38.28,$3.66,10.46
2012-09-30,36.42,$3.69,9.87
2012-06-30,32.59,$3.62,9.0
2012-03-31,30.22,$3.86,7.83
2011-12-31,30.8,$3.90,7.9
2011-09-30,27.05,$4.18,6.47
2011-06-30,27.08,$4.25,6.37
2011-03-31,25.06,$4.40,5.69
2010-12-31,24.61,$4.58,5.37
2010-09-30,25.31,$4.36,5.8
2010-06-30,22.9,$4.04,5.67
2010-03-31,24.42,$3.88,6.29
2009-12-31,23.73,$3.95,6.01
