Cabot PE Ratio Historical Data,Cabot PE Ratio Historical Data,Cabot PE Ratio Historical Data,Cabot PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,82.55,,10.96
2024-12-31,91.31,$7.53,12.13
2024-09-30,111.33,$6.74,16.52
2024-06-30,91.16,$8.41,10.84
2024-03-31,91.47,$7.90,11.58
2023-12-31,82.44,$7.70,10.71
2023-09-30,68.04,$7.75,8.78
2023-06-30,65.32,$5.29,12.35
2023-03-31,74.41,$5.55,13.41
2022-12-31,64.59,$6.10,10.59
2022-09-30,61.43,$3.60,17.07
2022-06-30,61.05,$2.46,24.82
2022-03-31,65.14,$2.25,28.95
2021-12-31,53.24,$1.71,31.13
2021-09-30,47.18,$4.34,10.87
2021-06-30,53.24,$-0.97,0.0
2021-03-31,48.77,$-2.57,0.0
2020-12-31,41.45,$-3.88,0.0
2020-09-30,33.01,$-4.24,0.0
2020-06-30,33.63,$1.12,30.03
2020-03-31,23.49,$1.79,13.12
2019-12-31,42.33,$2.19,19.33
2019-09-30,40.07,$2.63,15.24
2019-06-30,41.81,$3.59,11.65
2019-03-31,36.18,$4.44,8.15
2018-12-31,37.05,$1.25,29.64
2018-09-30,54.12,$-1.87,0.0
2018-06-30,53.03,$-2.31,0.0
2018-03-31,47.57,$-3.00,0.0
2017-12-31,52.32,$0.98,53.39
2017-09-30,47.16,$3.81,12.38
2017-06-30,44.88,$3.57,12.57
2017-03-31,50.03,$3.74,13.38
2016-12-31,41.99,$3.32,12.65
2016-09-30,43.29,$2.36,18.34
2016-06-30,37.49,$2.21,16.96
2016-03-31,39.42,$-5.71,0.0
2015-12-31,33.18,$-6.06,0.0
2015-09-30,25.48,$-5.26,0.0
2015-06-30,29.91,$-5.46,0.0
2015-03-31,35.91,$2.36,15.21
2014-12-31,34.83,$2.49,13.99
2014-09-30,40.13,$3.03,13.24
2014-06-30,45.65,$3.30,13.83
2014-03-31,46.31,$3.42,13.54
2013-12-31,40.16,$3.30,12.17
2013-09-30,33.23,$2.38,13.96
2013-06-30,28.97,$2.21,13.11
2013-03-31,26.35,$2.33,11.31
2012-12-31,30.49,$5.61,5.43
2012-09-30,27.87,$6.01,4.64
2012-06-30,30.84,$6.19,4.98
2012-03-31,32.17,$6.12,5.26
2011-12-31,24.12,$3.18,7.59
2011-09-30,18.49,$3.60,5.14
2011-06-30,29.58,$3.38,8.75
2011-03-31,34.19,$3.15,10.85
2010-12-31,27.69,$3.05,9.08
2010-09-30,23.83,$2.36,10.1
2010-06-30,17.52,$1.65,10.62
2010-03-31,21.95,$0.73,30.07
2009-12-31,18.82,$-0.83,0.0
