Allison Transmission Holdings PE Ratio Historical Data,Allison Transmission Holdings PE Ratio Historical Data,Allison Transmission Holdings PE Ratio Historical Data,Allison Transmission Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,98.9,,11.9
2024-12-31,108.06,$8.31,13.0
2024-09-30,95.87,$8.21,11.68
2024-06-30,75.52,$7.70,9.81
2024-03-31,80.49,$7.49,10.75
2023-12-31,57.48,$7.44,7.73
2023-09-30,58.12,$7.05,8.24
2023-06-30,55.35,$6.74,8.21
2023-03-31,44.14,$6.08,7.26
2022-12-31,40.4,$5.53,7.3
2022-09-30,32.63,$5.16,6.32
2022-06-30,36.96,$4.60,8.03
2022-03-31,37.53,$4.35,8.63
2021-12-31,34.57,$4.12,8.39
2021-09-30,33.41,$3.50,9.55
2021-06-30,37.41,$3.29,11.37
2021-03-31,38.28,$2.48,15.43
2020-12-31,40.23,$2.61,15.42
2020-09-30,32.64,$2.98,10.95
2020-06-30,34.0,$3.53,9.63
2020-03-31,30.0,$4.79,6.26
2019-12-31,44.25,$4.91,9.01
2019-09-30,42.95,$5.15,8.34
2019-06-30,42.17,$5.19,8.13
2019-03-31,40.73,$5.02,8.11
2018-12-31,39.69,$4.78,8.3
2018-09-30,46.87,$5.15,9.1
2018-06-30,36.37,$4.63,7.86
2018-03-31,34.97,$3.97,8.81
2017-12-31,38.41,$3.41,11.26
2017-09-30,33.34,$2.26,14.75
2017-06-30,33.18,$1.78,18.64
2017-03-31,31.77,$1.51,21.04
2016-12-31,29.56,$1.27,23.27
2016-09-30,25.04,$0.99,25.29
2016-06-30,24.51,$0.99,24.76
2016-03-31,23.3,$0.93,25.05
2015-12-31,22.21,$1.03,21.56
2015-09-30,22.77,$1.23,18.51
2015-06-30,24.84,$1.34,18.53
2015-03-31,26.98,$1.35,19.99
2014-12-31,28.5,$1.25,22.8
2014-09-30,23.85,$1.20,19.87
2014-06-30,25.93,$1.06,24.46
2014-03-31,24.86,$1.01,24.61
2013-12-31,22.83,$0.88,25.95
2013-09-30,20.62,$0.71,29.04
2013-06-30,18.9,$0.64,29.53
2013-03-31,19.56,$2.59,7.55
2012-12-31,16.59,$2.75,6.03
