Icad Inc PE Ratio Historical Data,Icad Inc PE Ratio Historical Data,Icad Inc PE Ratio Historical Data,Icad Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.09,,0.0
2024-09-30,1.57,$-0.13,0.0
2024-06-30,1.3,$-0.11,0.0
2024-03-31,1.61,$-0.12,0.0
2023-12-31,1.77,$-0.22,0.0
2023-09-30,2.11,$-0.39,0.0
2023-06-30,1.63,$-0.49,0.0
2023-03-31,1.24,$-0.54,0.0
2022-12-31,1.83,$-0.53,0.0
2022-09-30,2.1,$-0.58,0.0
2022-06-30,4.0,$-0.52,0.0
2022-03-31,4.46,$-0.53,0.0
2021-12-31,7.2,$-0.46,0.0
2021-09-30,10.75,$-0.36,0.0
2021-06-30,17.31,$-0.35,0.0
2021-03-31,21.22,$-0.33,0.0
2020-12-31,13.2,$-0.85,0.0
2020-09-30,8.81,$-0.95,0.0
2020-06-30,9.99,$-1.02,0.0
2020-03-31,7.34,$-1.11,0.0
2019-12-31,7.77,$-0.74,0.0
2019-09-30,6.85,$-0.77,0.0
2019-06-30,6.37,$-0.70,0.0
2019-03-31,5.17,$-0.56,0.0
2018-12-31,3.7,$-0.54,0.0
2018-09-30,2.91,$-0.60,0.0
2018-06-30,3.05,$-0.94,0.0
2018-03-31,3.08,$-1.04,0.0
2017-12-31,3.44,$-0.87,0.0
2017-09-30,4.42,$-0.81,0.0
2017-06-30,4.19,$-0.56,0.0
2017-03-31,4.81,$-0.50,0.0
2016-12-31,3.24,$-0.63,0.0
2016-09-30,5.2,$-0.58,0.0
2016-06-30,5.22,$-0.44,0.0
2016-03-31,5.1,$-2.11,0.0
2015-12-31,5.17,$-2.07,0.0
2015-09-30,3.4,$-1.93,0.0
2015-06-30,3.24,$-1.88,0.0
2015-03-31,9.58,$-0.18,0.0
2014-12-31,9.17,$-0.08,0.0
2014-09-30,9.85,$-0.48,0.0
2014-06-30,6.41,$-0.55,0.0
2014-03-31,9.16,$-0.65,0.0
2013-12-31,11.66,$-0.70,0.0
2013-09-30,5.27,$-0.54,0.0
2013-06-30,6.0,$-0.63,0.0
2013-03-31,4.99,$-0.76,0.0
2012-12-31,4.79,$-0.89,0.0
2012-09-30,2.15,$-0.84,0.0
2012-06-30,2.3,$-3.00,0.0
2012-03-31,2.45,$-3.15,0.0
2011-12-31,2.85,$-3.35,0.0
2011-09-30,2.35,$-3.45,0.0
2011-06-30,5.3,$-1.30,0.0
2011-03-31,6.75,$-0.95,0.0
2010-12-31,6.75,$-0.70,0.0
2010-09-30,8.75,$-0.35,0.0
2010-06-30,9.55,$-0.20,0.0
2010-03-31,7.6,$-0.25,0.0
2009-12-31,7.6,$-0.20,0.0
