General Motors PE Ratio Historical Data,General Motors PE Ratio Historical Data,General Motors PE Ratio Historical Data,General Motors PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,49.44,,8.04
2024-12-31,53.27,$6.15,8.66
2024-09-30,44.74,$9.38,4.77
2024-06-30,46.24,$8.90,5.2
2024-03-31,45.13,$8.18,5.52
2023-12-31,35.64,$7.31,4.88
2023-09-30,32.62,$7.11,4.59
2023-06-30,38.05,$7.16,5.31
2023-03-31,36.1,$6.47,5.58
2022-12-31,33.03,$6.13,5.39
2022-09-30,31.44,$5.90,5.33
2022-06-30,31.05,$5.27,5.89
2022-03-31,42.76,$6.03,7.09
2021-12-31,57.31,$6.71,8.54
2021-09-30,51.52,$7.48,6.89
2021-06-30,57.84,$8.64,6.69
2021-03-31,56.17,$6.18,9.09
2020-12-31,40.7,$4.32,9.42
2020-09-30,28.92,$2.23,12.97
2020-06-30,24.73,$1.05,23.55
2020-03-31,20.31,$3.27,6.21
2019-12-31,35.33,$4.58,7.71
2019-09-30,35.79,$6.14,5.83
2019-06-30,36.44,$6.29,5.79
2019-03-31,34.71,$6.29,5.52
2018-12-31,30.99,$5.53,5.6
2018-09-30,30.86,$0.48,64.3
2018-06-30,35.72,$-3.30,0.0
2018-03-31,32.66,$-3.87,0.0
2017-12-31,36.48,$-2.89,0.0
2017-09-30,35.61,$1.95,18.26
2017-06-30,30.49,$5.74,5.31
2017-03-31,30.53,$6.46,4.73
2016-12-31,29.78,$6.00,4.96
2016-09-30,26.86,$8.73,3.08
2016-06-30,23.65,$7.81,3.03
2016-03-31,25.93,$6.67,3.89
2015-12-31,27.71,$5.99,4.63
2015-09-30,24.21,$2.73,8.87
2015-06-30,26.56,$2.70,9.84
2015-03-31,29.58,$2.14,13.82
2014-12-31,27.32,$1.64,16.66
2014-09-30,24.77,$1.55,15.98
2014-06-30,27.9,$1.19,23.44
2014-03-31,26.24,$1.83,14.34
2013-12-31,30.88,$2.35,13.14
2013-09-30,27.18,$2.32,11.72
2013-06-30,25.17,$2.76,9.12
2013-03-31,21.02,$2.91,7.22
2012-12-31,21.79,$2.93,7.44
2012-09-30,17.19,$2.67,6.44
2012-06-30,14.9,$2.81,5.3
2012-03-31,19.38,$3.45,5.62
2011-12-31,15.32,$4.62,3.32
2011-09-30,15.25,$4.65,3.28
