Drilling Tools PE Ratio Historical Data,Drilling Tools PE Ratio Historical Data,Drilling Tools PE Ratio Historical Data,Drilling Tools PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.84,,10.14
2024-09-30,3.73,$0.28,13.32
2024-06-30,5.62,$0.39,14.41
2024-03-31,3.0,$0.43,6.98
2023-12-31,3.2,$0.32,10.0
2023-09-30,3.9,$0.19,20.53
2023-06-30,4.35,$0.05,87.0
2023-03-31,10.45,0,0.0
2022-12-31,10.24,0,0.0
