Southern Copper PE Ratio Historical Data,Southern Copper PE Ratio Historical Data,Southern Copper PE Ratio Historical Data,Southern Copper PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,99.22,,22.97
2024-12-31,91.13,$4.32,21.09
2024-09-30,114.23,$3.88,29.41
2024-06-30,105.17,$3.53,29.83
2024-03-31,102.91,$3.01,34.2
2023-12-31,82.33,$3.11,26.49
2023-09-30,71.02,$3.69,19.24
2023-06-30,66.87,$3.56,18.77
2023-03-31,70.19,$3.41,20.56
2022-12-31,54.85,$3.38,16.2
2022-09-30,40.35,$3.30,12.24
2022-06-30,44.14,$3.74,11.8
2022-03-31,65.73,$4.38,14.99
2021-12-31,52.65,$4.35,12.09
2021-09-30,47.11,$4.04,11.67
2021-06-30,53.25,$3.57,14.91
2021-03-31,55.71,$2.71,20.54
2020-12-31,53.0,$2.01,26.38
2020-09-30,36.51,$1.65,22.09
2020-06-30,31.79,$1.50,21.13
2020-03-31,22.37,$1.68,13.3
2019-12-31,33.34,$1.90,17.54
2019-09-30,26.5,$1.88,14.09
2019-06-30,30.16,$1.86,16.21
2019-03-31,30.47,$1.87,16.29
2018-12-31,23.31,$1.98,11.78
2018-09-30,32.36,$1.60,20.18
2018-06-30,34.85,$1.64,21.21
2018-03-31,40.05,$1.50,26.62
2017-12-31,34.85,$1.31,26.68
2017-09-30,29.04,$1.52,19.05
2017-06-30,25.2,$1.27,19.89
2017-03-31,26.03,$1.17,22.29
2016-12-31,23.11,$1.00,23.13
2016-09-30,19.0,$0.86,22.07
2016-06-30,19.45,$0.72,26.92
2016-03-31,19.94,$0.80,24.88
2015-12-31,18.78,$0.91,20.62
2015-09-30,19.18,$1.26,15.26
2015-06-30,21.03,$1.52,13.8
2015-03-31,20.81,$1.55,13.39
2014-12-31,20.04,$1.59,12.58
2014-09-30,20.98,$1.64,12.77
2014-06-30,21.41,$1.66,12.88
2014-03-31,20.46,$1.70,12.02
2013-12-31,20.1,$1.90,10.58
2013-09-30,18.99,$2.05,9.27
2013-06-30,19.17,$1.90,10.09
2013-03-31,25.92,$2.12,12.24
2012-12-31,25.96,$2.26,11.51
2012-09-30,21.86,$2.27,9.65
2012-06-30,19.9,$2.78,7.15
2012-03-31,19.69,$2.89,6.81
2011-12-31,18.63,$2.72,6.85
2011-09-30,15.1,$2.65,5.69
2011-06-30,19.47,$2.30,8.46
2011-03-31,23.49,$1.90,12.37
2010-12-31,28.08,$1.79,15.67
2010-09-30,20.04,$1.65,12.18
2010-06-30,14.96,$1.59,9.43
2010-03-31,17.58,$1.43,12.3
2009-12-31,17.75,$1.08,16.48
