Edesa Biotech PE Ratio Historical Data,Edesa Biotech PE Ratio Historical Data,Edesa Biotech PE Ratio Historical Data,Edesa Biotech PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.47,,0.0
2024-12-31,1.68,$-1.87,0.0
2024-09-30,4.45,$-1.93,0.0
2024-06-30,4.28,$-1.64,0.0
2024-03-31,4.19,$-1.82,0.0
2023-12-31,4.57,$-2.08,0.0
2023-09-30,4.42,$-2.45,0.0
2023-06-30,5.68,$-2.52,0.0
2023-03-31,6.38,$-4.41,0.0
2022-12-31,15.12,$-5.88,0.0
2022-09-30,6.45,$-7.28,0.0
2022-06-30,11.27,$-9.10,0.0
2022-03-31,20.79,$-9.03,0.0
2021-12-31,39.41,$-8.05,0.0
2021-09-30,51.66,$-7.56,0.0
2021-06-30,36.96,$-7.21,0.0
2021-03-31,37.8,$-6.09,0.0
2020-12-31,29.75,$-5.95,0.0
2020-09-30,56.49,$-5.18,0.0
2020-06-30,34.37,$-4.13,0.0
2020-03-31,14.98,$-4.83,0.0
2019-12-31,28.7,$-16.65,0.0
2019-09-30,43.6,$-26.52,0.0
2019-06-30,49.28,$-26.03,0.0
2019-03-31,45.78,$-39.88,0.0
2018-12-31,38.22,$-291.34,0.0
2018-09-30,58.38,$-318.61,0.0
2018-06-30,75.6,$-353.86,0.0
2018-03-31,241.08,$-373.16,0.0
2017-12-31,238.17,$-141.01,0.0
2017-09-30,333.6,$-146.88,0.0
2017-06-30,358.68,$-149.82,0.0
2017-03-31,479.22,$-155.70,0.0
2016-12-31,596.82,$-152.76,0.0
2016-09-30,705.6,$-164.51,0.0
