Arrow Electronics PE Ratio Historical Data,Arrow Electronics PE Ratio Historical Data,Arrow Electronics PE Ratio Historical Data,Arrow Electronics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,105.94,,14.55
2024-12-31,113.12,$7.28,15.54
2024-09-30,132.83,$8.96,14.82
2024-06-30,120.76,$10.61,11.38
2024-03-31,129.46,$12.72,10.18
2023-12-31,122.25,$15.79,7.74
2023-09-30,125.24,$17.91,6.99
2023-06-30,143.23,$19.65,7.29
2023-03-31,124.87,$21.07,5.93
2022-12-31,104.57,$21.78,4.8
2022-09-30,92.19,$21.38,4.31
2022-06-30,112.09,$20.11,5.57
2022-03-31,118.63,$17.80,6.66
2021-12-31,134.27,$15.21,8.83
2021-09-30,112.29,$13.03,8.62
2021-06-30,113.83,$11.16,10.2
2021-03-31,110.82,$9.61,11.53
2020-12-31,97.3,$7.50,12.97
2020-09-30,78.66,$5.78,13.61
2020-06-30,68.69,$4.75,14.46
2020-03-31,51.87,$-3.41,0.0
2019-12-31,84.74,$-2.39,0.0
2019-09-30,74.58,$-1.12,0.0
2019-06-30,71.27,$-0.23,0.0
2019-03-31,77.06,$8.17,9.43
2018-12-31,68.95,$8.10,8.51
2018-09-30,73.72,$6.07,12.14
2018-06-30,75.28,$5.58,13.49
2018-03-31,77.02,$4.77,16.15
2017-12-31,80.41,$4.47,17.99
2017-09-30,80.41,$5.68,14.16
2017-06-30,78.42,$5.46,14.36
2017-03-31,73.41,$5.80,12.66
2016-12-31,71.3,$5.68,12.55
2016-09-30,63.97,$5.56,11.51
2016-06-30,61.9,$5.43,11.4
2016-03-31,64.41,$5.26,12.25
2015-12-31,54.18,$5.21,10.4
2015-09-30,55.28,$4.70,11.76
2015-06-30,55.8,$5.02,11.12
2015-03-31,61.15,$5.01,12.21
2014-12-31,57.89,$4.98,11.62
2014-09-30,55.35,$5.12,10.81
2014-06-30,60.41,$4.60,13.13
2014-03-31,59.36,$4.19,14.17
2013-12-31,54.25,$3.85,14.09
2013-09-30,48.53,$4.15,11.69
2013-06-30,39.85,$4.14,9.63
2013-03-31,40.62,$4.30,9.45
2012-12-31,38.08,$4.58,8.31
2012-09-30,33.71,$4.49,7.51
2012-06-30,32.81,$4.70,6.98
2012-03-31,41.97,$5.01,8.38
2011-12-31,37.41,$5.17,7.24
2011-09-30,27.78,$4.98,5.58
2011-06-30,41.5,$4.83,8.59
2011-03-31,41.88,$4.46,9.39
2010-12-31,34.25,$4.01,8.54
2010-09-30,26.73,$3.19,8.38
2010-06-30,22.35,$2.29,9.76
2010-03-31,30.13,$1.51,19.95
2009-12-31,29.61,$1.02,29.03
