Amtech Systems PE Ratio Historical Data,Amtech Systems PE Ratio Historical Data,Amtech Systems PE Ratio Historical Data,Amtech Systems PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.9,,61.25
2024-12-31,5.45,$0.08,68.13
2024-09-30,5.8,$-0.60,0.0
2024-06-30,5.86,$-1.41,0.0
2024-03-31,5.41,$-1.51,0.0
2023-12-31,4.2,$-1.35,0.0
2023-09-30,7.62,$-0.89,0.0
2023-06-30,9.56,$0.26,36.77
2023-03-31,9.54,$1.06,9.0
2022-12-31,7.6,$0.97,7.84
2022-09-30,8.5,$1.24,6.85
2022-06-30,7.3,$0.99,7.37
2022-03-31,10.06,$0.29,34.69
2021-12-31,9.88,$0.13,76.0
2021-09-30,11.43,$0.11,103.91
2021-06-30,9.64,$-0.08,0.0
2021-03-31,11.82,$-0.12,0.0
2020-12-31,6.38,$-0.93,0.0
2020-09-30,4.89,$-1.12,0.0
2020-06-30,4.87,$-0.92,0.0
2020-03-31,4.35,$-0.77,0.0
2019-12-31,7.16,$-0.34,0.0
2019-09-30,5.3,$-0.37,0.0
2019-06-30,5.5,$-1.04,0.0
2019-03-31,5.33,$-0.85,0.0
2018-12-31,4.53,$-0.26,0.0
2018-09-30,5.34,$0.33,16.18
2018-06-30,6.05,$1.45,4.17
2018-03-31,7.32,$1.37,5.34
2017-12-31,10.07,$1.07,9.41
2017-09-30,11.98,$0.65,18.43
2017-06-30,8.44,$0.12,70.33
2017-03-31,5.5,$-0.22,0.0
2016-12-31,4.25,$-0.22,0.0
2016-09-30,4.96,$-0.53,0.0
2016-06-30,5.97,$-0.41,0.0
2016-03-31,6.49,$-0.44,0.0
2015-12-31,6.26,$-0.52,0.0
2015-09-30,4.3,$-0.74,0.0
2015-06-30,10.39,$-1.17,0.0
2015-03-31,11.18,$-1.58,0.0
2014-12-31,10.2,$-1.78,0.0
2014-09-30,10.7,$-1.33,0.0
2014-06-30,12.23,$-1.18,0.0
2014-03-31,12.17,$-1.92,0.0
2013-12-31,6.96,$-1.75,0.0
2013-09-30,7.3,$-2.11,0.0
2013-06-30,6.36,$-3.42,0.0
2013-03-31,3.64,$-2.46,0.0
2012-12-31,3.22,$-2.78,0.0
2012-09-30,3.31,$-2.43,0.0
2012-06-30,3.76,$-0.63,0.0
2012-03-31,8.33,$0.42,19.83
2011-12-31,8.51,$1.73,4.92
2011-09-30,8.0,$2.34,3.42
2011-06-30,20.64,$2.61,7.91
2011-03-31,25.24,$2.29,11.02
2010-12-31,25.15,$1.54,16.33
2010-09-30,17.96,$1.03,17.44
2010-06-30,8.35,$0.43,19.42
2010-03-31,10.09,$-0.02,0.0
2009-12-31,11.07,$-0.26,0.0
