FMC PE Ratio Historical Data,FMC PE Ratio Historical Data,FMC PE Ratio Historical Data,FMC PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,42.26,,15.54
2024-12-31,48.61,$2.72,17.87
2024-09-30,65.94,$11.62,5.67
2024-06-30,57.05,$11.07,5.15
2024-03-31,62.51,$8.96,6.98
2023-12-31,61.31,$10.53,5.82
2023-09-30,64.53,$3.93,16.42
2023-06-30,99.66,$4.91,20.3
2023-03-31,116.01,$5.73,20.25
2022-12-31,117.98,$5.82,20.27
2022-09-30,99.46,$5.17,19.24
2022-06-30,100.2,$5.44,18.42
2022-03-31,122.59,$5.94,20.64
2021-12-31,101.98,$5.70,17.89
2021-09-30,84.56,$4.56,18.54
2021-06-30,99.42,$4.19,23.73
2021-03-31,101.19,$4.04,25.05
2020-12-31,104.69,$4.22,24.81
2020-09-30,96.07,$3.82,25.15
2020-06-30,89.99,$3.66,24.59
2020-03-31,73.46,$3.57,20.58
2019-12-31,89.29,$3.61,24.73
2019-09-30,78.08,$3.87,20.18
2019-06-30,73.53,$3.72,19.77
2019-03-31,67.77,$3.36,20.17
2018-12-31,65.24,$3.70,17.63
2018-09-30,76.49,$7.40,10.34
2018-06-30,78.13,$7.27,10.75
2018-03-31,66.93,$6.87,9.74
2017-12-31,82.56,$3.99,20.69
2017-09-30,77.76,$0.17,457.39
2017-06-30,63.48,$0.35,181.37
2017-03-31,60.34,$0.28,215.51
2016-12-31,48.91,$1.56,31.35
2016-09-30,41.68,$-0.09,0.0
2016-06-30,39.8,$-0.70,0.0
2016-03-31,34.56,$4.33,7.98
2015-12-31,33.37,$3.62,9.22
2015-09-30,28.8,$5.72,5.03
2015-06-30,44.4,$6.16,7.21
2015-03-31,48.23,$1.45,33.26
2014-12-31,47.9,$2.29,20.92
2014-09-30,47.91,$1.92,24.95
2014-06-30,59.49,$1.63,36.5
2014-03-31,63.84,$1.68,38.0
2013-12-31,62.8,$2.13,29.48
2013-09-30,59.58,$2.67,22.32
2013-06-30,50.63,$3.19,15.87
2013-03-31,47.19,$3.09,15.27
2012-12-31,48.31,$3.01,16.07
2012-09-30,45.61,$2.82,16.2
2012-06-30,43.97,$2.77,15.87
2012-03-31,43.44,$2.76,15.77
2011-12-31,35.25,$2.55,13.82
2011-09-30,28.28,$1.63,17.35
2011-06-30,35.11,$1.59,22.08
2011-03-31,34.6,$1.30,26.72
2010-12-31,32.49,$1.18,27.65
2010-09-30,27.78,$1.97,14.1
2010-06-30,23.28,$1.60,14.59
2010-03-31,24.48,$1.62,15.16
2009-12-31,22.5,$1.56,14.47
