Urban Edge Properties PE Ratio Historical Data,Urban Edge Properties PE Ratio Historical Data,Urban Edge Properties PE Ratio Historical Data,Urban Edge Properties PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,18.76,,31.8
2024-12-31,21.5,$0.59,36.44
2024-09-30,21.23,$2.23,9.52
2024-06-30,18.19,$2.47,7.36
2024-03-31,16.84,$2.30,7.32
2023-12-31,17.67,$2.12,8.33
2023-09-30,14.61,$0.36,40.58
2023-06-30,14.63,$0.15,97.54
2023-03-31,14.13,$0.16,88.3
2022-12-31,13.07,$0.40,32.68
2022-09-30,12.25,$0.64,19.13
2022-06-30,13.82,$0.78,17.72
2022-03-31,17.17,$0.79,21.73
2021-12-31,16.93,$0.88,19.24
2021-09-30,16.18,$0.68,23.79
2021-06-30,16.74,$0.39,42.92
2021-03-31,14.37,$0.55,26.13
2020-12-31,11.16,$0.78,14.31
2020-09-30,8.1,$0.65,12.45
2020-06-30,9.89,$1.15,8.6
2020-03-31,7.34,$1.10,6.67
2019-12-31,15.73,$0.92,17.09
2019-09-30,16.04,$0.95,16.88
2019-06-30,13.89,$0.71,19.57
2019-03-31,15.04,$0.96,15.67
2018-12-31,13.01,$0.92,14.14
2018-09-30,17.08,$0.73,23.39
2018-06-30,17.52,$0.67,26.14
2018-03-31,16.19,$0.33,49.06
2017-12-31,19.13,$0.65,29.43
2017-09-30,17.95,$0.97,18.5
2017-06-30,17.5,$1.01,17.33
2017-03-31,19.23,$1.22,15.76
2016-12-31,19.94,$0.91,21.91
2016-09-30,20.24,$0.87,23.27
2016-06-30,21.32,$0.87,24.51
2016-03-31,18.32,$0.69,26.55
2015-12-31,16.49,$0.38,43.4
