IBio PE Ratio Historical Data,IBio PE Ratio Historical Data,IBio PE Ratio Historical Data,IBio PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.56,,0.0
2024-12-31,2.45,$-1.79,0.0
2024-09-30,2.22,$-5.73,0.0
2024-06-30,2.11,$-10.07,0.0
2024-03-31,4.06,$-10.07,0.0
2023-12-31,1.37,$-9.22,0.0
2023-09-30,6.07,$-73.20,0.0
2023-06-30,12.2,$-68.40,0.0
2023-03-31,41.6,$-68.40,0.0
2022-12-31,8.89,$-98.40,0.0
2022-09-30,85.15,$-55.00,0.0
2022-06-30,132.0,$-75.00,0.0
2022-03-31,214.1,$-75.00,0.0
2021-12-31,274.5,$-65.00,0.0
2021-09-30,530.0,$-60.00,0.0
2021-06-30,755.0,$-65.00,0.0
2021-03-31,770.0,$-65.00,0.0
2020-12-31,525.0,$-75.00,0.0
2020-09-30,1015.0,$-400.00,0.0
2020-06-30,1110.0,$-480.00,0.0
2020-03-31,530.0,$-480.00,0.0
2019-12-31,124.5,$-560.00,0.0
2019-09-30,270.0,$-215.00,0.0
2019-06-30,354.0,$-235.00,0.0
2019-03-31,436.5,$-235.00,0.0
2018-12-31,376.7,$-275.00,0.0
2018-09-30,425.0,$-475.00,0.0
2018-06-30,450.0,$-550.00,0.0
2018-03-31,1080.0,$-800.00,0.0
2017-12-31,885.5,$-850.00,0.0
2017-09-30,1600.0,$-850.00,0.0
2017-06-30,1930.0,$-800.00,0.0
2017-03-31,2150.0,$-700.00,0.0
2016-12-31,1975.0,$-700.00,0.0
2016-09-30,2750.0,$-650.00,0.0
2016-06-30,3600.0,$-600.00,0.0
2016-03-31,2832.5,$-450.00,0.0
2015-12-31,2800.0,$-350.00,0.0
2015-09-30,3400.0,$-200.00,0.0
2015-06-30,4750.0,$-100.00,0.0
2015-03-31,3840.0,$-100.00,0.0
2014-12-31,3425.0,0,0.0
2014-09-30,3074.0,0,0.0
2014-06-30,2103.0,0,0.0
2014-03-31,2690.0,0,0.0
2013-12-31,1675.0,0,0.0
2013-09-30,2175.0,0,0.0
2013-06-30,2100.0,0,0.0
2013-03-31,2700.0,0,0.0
2012-12-31,3100.0,$-350.00,0.0
2012-09-30,5150.0,$-350.00,0.0
2012-06-30,3800.0,$-350.00,0.0
2012-03-31,5600.0,$-350.00,0.0
2011-12-31,4150.0,0,0.0
2011-09-30,8000.0,0,0.0
2011-06-30,14300.0,0,0.0
2011-03-31,15350.0,0,0.0
2010-12-31,15800.0,$-300.00,0.0
2010-09-30,11100.0,$-350.00,0.0
2010-06-30,6900.0,$-450.00,0.0
2010-03-31,5000.0,$-550.00,0.0
2009-12-31,4500.0,$-300.00,0.0
