CF Bankshares PE Ratio Historical Data,CF Bankshares PE Ratio Historical Data,CF Bankshares PE Ratio Historical Data,CF Bankshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,22.16,,16.06
2024-12-31,25.54,$1.38,18.51
2024-09-30,21.58,$2.03,10.63
2024-06-30,18.64,$2.00,9.32
2024-03-31,19.78,$2.40,8.24
2023-12-31,19.26,$2.61,7.38
2023-09-30,16.48,$2.68,6.15
2023-06-30,14.71,$2.71,5.43
2023-03-31,19.06,$2.77,6.88
2022-12-31,20.65,$2.78,7.43
2022-09-30,20.06,$2.74,7.32
2022-06-30,20.38,$2.70,7.55
2022-03-31,21.6,$2.50,8.64
2021-12-31,19.84,$2.77,7.16
2021-09-30,19.73,$3.20,6.16
2021-06-30,18.76,$4.13,4.54
2021-03-31,19.19,$5.14,3.73
2020-12-31,16.98,$4.48,3.79
2020-09-30,11.57,$3.88,2.98
2020-06-30,9.99,$2.93,3.41
2020-03-31,10.08,$1.95,5.17
2019-12-31,13.36,$2.04,6.55
2019-09-30,11.92,$1.86,6.41
2019-06-30,11.53,$1.51,7.64
2019-03-31,12.28,$1.24,9.94
2018-12-31,11.2,$1.01,11.09
2018-09-30,14.85,$0.63,23.75
2018-06-30,12.64,$0.55,22.99
2018-03-31,12.22,$0.39,31.74
2017-12-31,14.49,$0.28,52.68
2017-09-30,12.75,$0.39,33.11
2017-06-30,10.96,$0.33,33.2
2017-03-31,11.27,$0.28,40.99
2016-12-31,9.22,$0.28,33.52
2016-09-30,7.43,$1.05,7.11
2016-06-30,7.16,$0.99,7.24
2016-03-31,7.11,$1.05,6.8
2015-12-31,6.95,$0.99,7.02
2015-09-30,7.06,$0.22,32.09
2015-06-30,6.9,$0.22,31.37
2015-03-31,7.38,$0.11,67.05
2014-12-31,6.43,$0.06,116.85
2014-09-30,7.01,$0.28,25.48
2014-06-30,7.8,$0.11,70.88
2014-03-31,8.16,$-0.11,0.0
2013-12-31,7.01,$-0.33,0.0
2013-09-30,7.43,$-0.77,0.0
2013-06-30,6.9,$1.43,4.83
2013-03-31,7.9,$-3.63,0.0
2012-12-31,7.64,$-9.02,0.0
2012-09-30,7.69,$-18.76,0.0
2012-06-30,8.22,$-24.42,0.0
2012-03-31,20.55,$-32.62,0.0
2011-12-31,16.33,$-39.05,0.0
2011-09-30,25.02,$-36.30,0.0
2011-06-30,21.07,$-34.93,0.0
2011-03-31,34.24,$-59.41,0.0
2010-12-31,13.43,$-46.48,0.0
2010-09-30,25.02,$-54.73,0.0
2010-06-30,40.56,$-98.19,0.0
2010-03-31,31.34,$-66.01,0.0
2009-12-31,39.51,$-69.03,0.0
