Bridgewater Bancshares PE Ratio Historical Data,Bridgewater Bancshares PE Ratio Historical Data,Bridgewater Bancshares PE Ratio Historical Data,Bridgewater Bancshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.02,,13.61
2024-12-31,13.51,$1.03,13.12
2024-09-30,14.17,$1.05,13.5
2024-06-30,11.61,$1.08,10.75
2024-03-31,11.64,$1.13,10.3
2023-12-31,13.52,$1.26,10.73
2023-09-30,9.48,$1.43,6.63
2023-06-30,9.85,$1.60,6.16
2023-03-31,10.84,$1.70,6.38
2022-12-31,17.74,$1.72,10.31
2022-09-30,16.47,$1.66,9.92
2022-06-30,16.14,$1.59,10.15
2022-03-31,16.68,$1.56,10.69
2021-12-31,17.69,$1.54,11.49
2021-09-30,17.51,$1.32,13.27
2021-06-30,16.15,$1.17,13.8
2021-03-31,16.15,$1.05,15.38
2020-12-31,12.49,$0.93,13.43
2020-09-30,9.49,$1.05,9.04
2020-06-30,10.25,$1.07,9.58
2020-03-31,9.75,$1.07,9.11
2019-12-31,13.78,$1.05,13.12
2019-09-30,11.94,$1.01,11.82
2019-06-30,11.54,$0.95,12.15
2019-03-31,10.31,$0.91,11.33
2018-12-31,10.55,$0.91,11.59
