Evogene PE Ratio Historical Data,Evogene PE Ratio Historical Data,Evogene PE Ratio Historical Data,Evogene PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.38,,0.0
2024-09-30,3.07,$-4.47,0.0
2024-06-30,6.5,$-3.96,0.0
2024-03-31,7.5,$-4.60,0.0
2023-12-31,8.4,$-5.30,0.0
2023-09-30,5.87,$-4.70,0.0
2023-06-30,10.7,$-5.50,0.0
2023-03-31,6.3,$-5.90,0.0
2022-12-31,7.0,$-6.40,0.0
2022-09-30,8.3,$-7.50,0.0
2022-06-30,7.7,$-7.80,0.0
2022-03-31,13.0,$-7.20,0.0
2021-12-31,16.4,$-6.90,0.0
2021-09-30,26.4,$-7.60,0.0
2021-06-30,34.2,$-7.40,0.0
2021-03-31,50.4,$-7.50,0.0
2020-12-31,47.0,$-8.20,0.0
2020-09-30,39.6,$-8.10,0.0
2020-06-30,10.0,$-8.00,0.0
2020-03-31,11.8,$-8.00,0.0
2019-12-31,15.2,$-7.10,0.0
2019-09-30,15.8,$-7.00,0.0
2019-06-30,16.1,$-7.30,0.0
2019-03-31,18.3,$-7.60,0.0
2018-12-31,19.8,$-8.20,0.0
2018-09-30,31.1,$-8.30,0.0
2018-06-30,28.6,$-8.40,0.0
2018-03-31,31.75,$-8.30,0.0
2017-12-31,30.7,$-8.10,0.0
2017-09-30,44.4,$-8.30,0.0
2017-06-30,50.6,$-8.30,0.0
2017-03-31,53.47,$-8.30,0.0
2016-12-31,51.0,$-7.70,0.0
2016-09-30,63.8,$-7.30,0.0
2016-06-30,62.4,$-6.60,0.0
2016-03-31,65.1,$-6.80,0.0
2015-12-31,80.5,$-6.80,0.0
2015-09-30,82.5,$-6.50,0.0
2015-06-30,88.4,$-6.90,0.0
2015-03-31,88.2,$-6.20,0.0
2014-12-31,92.1,$-5.80,0.0
2014-09-30,131.6,$-5.90,0.0
2014-06-30,163.8,$-4.80,0.0
2014-03-31,190.5,$-4.00,0.0
2013-12-31,196.5,$-3.20,0.0
2013-09-30,152.0,$-1.40,0.0
2013-06-30,128.0,$-1.10,0.0
2013-03-31,101.0,$-0.90,0.0
2012-12-31,94.0,$-0.70,0.0
2012-09-30,75.0,$0.40,187.5
