UNIVERSAL INSURANCE HOLDINGS INC PE Ratio Historical Data,UNIVERSAL INSURANCE HOLDINGS INC PE Ratio Historical Data,UNIVERSAL INSURANCE HOLDINGS INC PE Ratio Historical Data,UNIVERSAL INSURANCE HOLDINGS INC PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,21.78,,10.94
2024-12-31,21.06,$1.99,10.58
2024-09-30,21.87,$2.46,8.89
2024-06-30,18.36,$2.83,6.49
2024-03-31,19.73,$2.55,7.74
2023-12-31,15.39,$2.20,7.0
2023-09-30,13.27,$2.34,5.67
2023-06-30,14.45,$0.18,80.28
2023-03-31,16.89,$-0.51,0.0
2022-12-31,9.74,$-0.74,0.0
2022-09-30,8.82,$-3.10,0.0
2022-06-30,11.52,$-0.10,0.0
2022-03-31,11.78,$0.36,32.71
2021-12-31,14.65,$0.64,22.89
2021-09-30,11.03,$1.61,6.85
2021-06-30,11.61,$0.87,13.35
2021-03-31,11.86,$0.79,15.02
2020-12-31,12.38,$0.56,22.1
2020-09-30,11.12,$-0.42,0.0
2020-06-30,14.13,$0.27,52.34
2020-03-31,14.13,$0.73,19.35
2019-12-31,21.9,$1.26,17.38
2019-09-30,23.23,$2.63,8.83
2019-06-30,21.49,$3.08,6.98
2019-03-31,23.75,$3.29,7.22
2018-12-31,28.91,$3.27,8.84
2018-09-30,36.76,$4.48,8.21
2018-06-30,26.58,$3.72,7.15
2018-03-31,23.94,$3.25,7.37
2017-12-31,20.43,$2.99,6.83
2017-09-30,17.01,$2.34,7.27
2017-06-30,18.51,$2.81,6.59
2017-03-31,17.9,$2.93,6.11
2016-12-31,20.64,$2.78,7.42
2016-09-30,18.11,$3.22,5.63
2016-06-30,13.28,$3.31,4.01
2016-03-31,12.63,$3.06,4.13
2015-12-31,16.32,$2.97,5.49
2015-09-30,20.52,$2.74,7.49
2015-06-30,16.74,$2.51,6.67
2015-03-31,17.61,$2.31,7.62
2014-12-31,14.0,$2.07,6.76
2014-09-30,8.74,$1.92,4.55
2014-06-30,8.7,$1.71,5.09
2014-03-31,8.46,$1.66,5.09
2013-12-31,9.56,$1.57,6.09
2013-09-30,4.6,$1.24,3.71
2013-06-30,4.61,$1.04,4.43
2013-03-31,3.12,$0.79,3.95
2012-12-31,2.77,$0.74,3.74
2012-09-30,2.37,$0.57,4.16
2012-06-30,2.06,$0.39,5.27
2012-03-31,2.29,$0.39,5.87
2011-12-31,2.05,$0.49,4.19
2011-09-30,2.12,$0.70,3.03
2011-06-30,2.53,$1.04,2.43
2011-03-31,2.93,$1.12,2.62
2010-12-31,2.55,$0.99,2.57
2010-09-30,2.3,$0.77,2.99
2010-06-30,2.14,$0.69,3.1
2010-03-31,2.54,$0.61,4.16
2009-12-31,2.88,$0.71,4.05
