Curtiss-Wright PE Ratio Historical Data,Curtiss-Wright PE Ratio Historical Data,Curtiss-Wright PE Ratio Historical Data,Curtiss-Wright PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,327.46,,31.04
2024-12-31,354.87,$10.55,33.64
2024-09-30,328.5,$10.57,31.08
2024-06-30,270.65,$10.19,26.56
2024-03-31,255.43,$9.71,26.31
2023-12-31,222.17,$9.20,24.15
2023-09-30,194.9,$8.91,21.87
2023-06-30,182.79,$8.31,22.0
2023-03-31,175.23,$8.04,21.79
2022-12-31,165.83,$7.61,21.79
2022-09-30,138.05,$6.73,20.51
2022-06-30,130.83,$6.52,20.07
2022-03-31,148.53,$6.18,24.03
2021-12-31,137.01,$6.58,20.82
2021-09-30,124.5,$5.94,20.96
2021-06-30,117.01,$5.79,20.21
2021-03-31,116.68,$5.04,23.15
2020-12-31,114.31,$4.80,23.81
2020-09-30,91.5,$5.58,16.4
2020-06-30,87.43,$5.95,14.69
2020-03-31,90.33,$7.07,12.78
2019-12-31,137.45,$7.15,19.22
2019-09-30,125.89,$6.96,18.09
2019-06-30,123.71,$6.72,18.41
2019-03-31,110.13,$6.54,16.84
2018-12-31,99.1,$6.23,15.91
2018-09-30,133.21,$5.86,22.73
2018-06-30,115.37,$5.61,20.57
2018-03-31,130.77,$5.06,25.84
2017-12-31,117.83,$4.81,24.5
2017-09-30,100.83,$4.82,20.92
2017-06-30,88.52,$4.41,20.07
2017-03-31,87.9,$4.16,21.13
2016-12-31,94.6,$4.16,22.74
2016-09-30,87.39,$4.14,21.11
2016-06-30,80.81,$3.83,21.1
2016-03-31,72.47,$3.48,20.82
2015-12-31,65.49,$3.08,21.26
2015-09-30,59.57,$1.91,31.19
2015-06-30,68.99,$1.71,40.34
2015-03-31,70.3,$1.92,36.61
2014-12-31,66.99,$2.31,29.0
2014-09-30,62.32,$2.94,21.2
2014-06-30,61.98,$3.19,19.43
2014-03-31,59.95,$3.15,19.03
2013-12-31,58.59,$2.87,20.42
2013-09-30,44.03,$2.71,16.25
2013-06-30,34.75,$2.19,15.87
2013-03-31,32.45,$1.97,16.47
2012-12-31,30.62,$2.40,12.76
2012-09-30,30.33,$2.43,12.48
2012-06-30,28.8,$2.92,9.86
2012-03-31,34.22,$3.12,10.97
2011-12-31,32.6,$2.77,11.77
2011-09-30,26.46,$2.72,9.73
2011-06-30,29.71,$2.59,11.47
2011-03-31,32.17,$2.47,13.02
2010-12-31,30.32,$2.30,13.18
2010-09-30,27.53,$2.27,12.13
2010-06-30,26.39,$2.11,12.51
2010-03-31,31.54,$2.09,15.09
2009-12-31,28.32,$2.09,13.55
