Hess PE Ratio Historical Data,Hess PE Ratio Historical Data,Hess PE Ratio Historical Data,Hess PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,157.37,,17.49
2024-12-31,133.01,$9.00,14.78
2024-09-30,135.3,$8.58,15.77
2024-06-30,146.41,$8.60,17.02
2024-03-31,151.03,$6.53,23.13
2023-12-31,142.23,$4.50,31.61
2023-09-30,150.5,$5.19,29.0
2023-06-30,133.36,$5.22,25.55
2023-03-31,129.4,$6.98,18.54
2022-12-31,138.2,$7.19,19.22
2022-09-30,105.91,$6.01,17.62
2022-06-30,102.63,$4.71,21.79
2022-03-31,103.37,$2.32,44.56
2021-12-31,71.21,$1.80,39.56
2021-09-30,74.89,$0.63,118.87
2021-06-30,83.42,$-0.54,0.0
2021-03-31,67.41,$-1.35,0.0
2020-12-31,50.11,$-10.17,0.0
2020-09-30,38.67,$-10.58,0.0
2020-06-30,48.67,$-10.46,0.0
2020-03-31,31.13,$-9.43,0.0
2019-12-31,62.01,$-1.34,0.0
2019-09-30,55.91,$-0.66,0.0
2019-06-30,58.53,$0.16,365.82
2019-03-31,55.21,$-0.30,0.0
2018-12-31,36.97,$-0.77,0.0
2018-09-30,65.02,$-9.29,0.0
2018-06-30,60.53,$-11.45,0.0
2018-03-31,45.62,$-12.43,0.0
2017-12-31,42.56,$-13.12,0.0
2017-09-30,41.8,$-20.20,0.0
2017-06-30,38.88,$-19.30,0.0
2017-03-31,42.49,$-19.13,0.0
2016-12-31,54.61,$-19.78,0.0
2016-09-30,46.83,$-10.56,0.0
2016-06-30,52.2,$-10.42,0.0
2016-03-31,45.54,$-11.12,0.0
2015-12-31,41.72,$-10.77,0.0
2015-09-30,42.87,$-4.37,0.0
2015-06-30,57.02,$-0.08,0.0
2015-03-31,57.65,$4.87,11.84
2014-12-31,62.48,$7.44,8.4
2014-09-30,79.52,$13.23,6.01
2014-06-30,83.16,$11.14,7.47
2014-03-31,69.51,$12.34,5.63
2013-12-31,69.4,$14.86,4.67
2013-09-30,64.46,$10.76,5.99
2013-06-30,55.24,$11.18,4.94
2013-03-31,59.41,$8.63,6.88
2012-12-31,43.87,$6.51,6.74
2012-09-30,44.42,$4.46,9.96
2012-06-30,35.86,$3.70,9.69
2012-03-31,48.54,$3.87,12.54
2011-12-31,46.7,$5.01,9.32
2011-09-30,43.05,$5.58,7.72
2011-06-30,61.25,$8.22,7.45
2011-03-31,69.72,$7.59,9.19
2010-12-31,62.54,$6.50,9.62
2010-09-30,48.25,$7.42,6.5
2010-06-30,41.01,$4.95,8.28
2010-03-31,50.86,$4.11,12.37
2009-12-31,49.11,$2.28,21.54
