Dakota Gold PE Ratio Historical Data,Dakota Gold PE Ratio Historical Data,Dakota Gold PE Ratio Historical Data,Dakota Gold PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.07,,0.0
2024-09-30,2.36,$-0.41,0.0
2024-06-30,2.55,$-0.41,0.0
2024-03-31,2.37,$-0.44,0.0
2023-12-31,2.62,$-0.47,0.0
2023-09-30,2.58,$-0.37,0.0
2023-06-30,2.92,$-0.35,0.0
2023-03-31,3.62,$-0.30,0.0
