Donegal PE Ratio Historical Data,Donegal PE Ratio Historical Data,Donegal PE Ratio Historical Data,Donegal PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.5,,19.86
2024-12-31,14.11,$0.73,19.33
2024-09-30,12.74,$0.67,19.02
2024-06-30,11.52,$0.19,60.66
2024-03-31,13.01,$0.13,100.04
2023-12-31,13.89,$0.12,115.72
2023-09-30,12.94,$0.27,47.94
2023-06-30,12.63,$-0.01,0.0
2023-03-31,13.9,$-0.30,0.0
2022-12-31,14.9,$-0.06,0.0
2022-09-30,12.79,$0.00,0.0
2022-06-30,14.35,$0.10,143.5
2022-03-31,12.24,$0.82,14.93
2021-12-31,11.84,$0.75,15.78
2021-09-30,11.96,$1.04,11.5
2021-06-30,12.38,$1.61,7.69
2021-03-31,11.61,$1.85,6.27
2020-12-31,9.98,$1.65,6.05
2020-09-30,10.11,$1.66,6.09
2020-06-30,9.34,$1.45,6.44
2020-03-31,10.97,$0.88,12.47
2019-12-31,10.33,$1.51,6.84
2019-09-30,10.04,$0.56,17.92
2019-06-30,11.53,$0.44,26.2
2019-03-31,9.34,$0.26,35.91
2018-12-31,9.19,$-1.09,0.0
2018-09-30,10.6,$-0.69,0.0
2018-06-30,10.08,$-0.47,0.0
2018-03-31,10.63,$-0.52,0.0
2017-12-31,11.42,$0.25,45.68
2017-09-30,11.16,$0.56,19.93
2017-06-30,10.7,$0.48,22.29
2017-03-31,11.71,$0.88,13.31
2016-12-31,11.55,$1.17,9.87
2016-09-30,13.42,$1.24,10.82
2016-06-30,11.28,$1.31,8.61
2016-03-31,9.6,$1.23,7.8
2015-12-31,11.64,$1.02,11.41
2015-09-30,12.98,$0.90,14.43
2015-06-30,14.02,$0.98,14.31
2015-03-31,13.15,$0.81,16.23
2014-12-31,14.8,$0.54,27.41
2014-09-30,16.44,$0.75,21.92
2014-06-30,14.33,$0.72,19.9
2014-03-31,16.84,$0.75,22.45
2013-12-31,15.97,$1.02,15.65
2013-09-30,13.09,$0.90,14.54
2013-06-30,14.1,$0.85,16.59
2013-03-31,15.3,$0.83,18.43
2012-12-31,11.9,$0.87,13.68
2012-09-30,11.82,$0.59,20.04
2012-06-30,11.76,$0.37,31.77
2012-03-31,11.61,$0.23,50.49
2011-12-31,10.6,$0.03,353.27
2011-09-30,9.61,$0.24,40.03
2011-06-30,11.15,$0.41,27.2
2011-03-31,10.61,$0.53,20.01
2010-12-31,11.08,$0.45,24.63
2010-09-30,10.64,$0.57,18.67
2010-06-30,11.05,$0.64,17.26
2010-03-31,10.96,$0.76,14.42
2009-12-31,10.33,$0.76,13.59
