Eni SpA PE Ratio Historical Data,Eni SpA PE Ratio Historical Data,Eni SpA PE Ratio Historical Data,Eni SpA PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,31.47,,18.84
2024-09-30,29.75,$1.67,17.82
2024-06-30,29.71,$2.56,11.6
2024-03-31,30.13,$2.32,12.99
2023-12-31,31.77,$3.02,10.52
2023-09-30,29.37,$3.30,8.9
2023-06-30,26.08,$5.43,4.8
2023-03-31,24.96,$7.54,3.31
2022-12-31,25.08,$8.28,3.03
2022-09-30,18.2,$10.31,1.77
2022-06-30,20.12,$7.72,2.61
2022-03-31,23.96,$5.58,4.29
2021-12-31,22.65,$3.92,5.78
2021-09-30,21.91,$1.02,21.48
2021-06-30,19.2,$-0.09,0.0
2021-03-31,19.0,$-2.94,0.0
2020-12-31,15.84,$-5.33,0.0
2020-09-30,11.95,$-6.02,0.0
2020-06-30,14.57,$-5.36,0.0
2020-03-31,14.26,$-2.38,0.0
2019-12-31,22.27,$0.11,202.49
2019-09-30,21.94,$1.60,13.71
2019-06-30,23.06,$2.25,10.25
2019-03-31,23.93,$2.82,8.48
2018-12-31,21.39,$2.78,7.69
2018-09-30,25.57,$3.83,6.68
2018-06-30,24.58,$3.08,7.98
2018-03-31,22.83,$2.24,10.19
2017-12-31,21.44,$2.18,9.84
2017-09-30,21.37,$1.00,21.37
2017-06-30,18.86,$0.41,46.0
2017-03-31,19.97,$0.14,142.63
2016-12-31,19.67,$-0.92,0.0
2016-09-30,17.61,$-6.26,0.0
2016-06-30,19.12,$-6.48,0.0
2016-03-31,17.34,$-6.30,0.0
2015-12-31,17.09,$-5.37,0.0
2015-09-30,17.99,$-1.70,0.0
2015-06-30,19.85,$0.10,198.51
2015-03-31,18.71,$0.37,50.56
2014-12-31,18.87,$0.91,20.73
2014-09-30,25.54,$1.92,13.3
2014-06-30,28.81,$3.67,7.85
2014-03-31,25.56,$3.69,6.93
2013-12-31,24.7,$3.84,6.43
2013-09-30,23.45,$5.34,4.39
2013-06-30,20.27,$4.08,4.97
2013-03-31,21.55,$3.98,5.41
2012-12-31,23.59,$5.46,4.32
2012-09-30,21.04,$5.40,3.9
2012-06-30,19.83,$5.07,3.91
2012-03-31,21.11,$5.98,3.53
2011-12-31,18.6,$5.27,3.53
2011-09-30,15.84,$4.71,3.36
2011-06-30,20.57,$4.57,4.5
2011-03-31,20.63,$4.83,4.27
2010-12-31,18.37,$4.61,3.98
2010-09-30,18.13,$4.73,3.83
2010-06-30,14.89,$4.46,3.34
2010-03-31,18.43,$3.82,4.82
2009-12-31,19.87,$3.51,5.66
