Ally Financial PE Ratio Historical Data,Ally Financial PE Ratio Historical Data,Ally Financial PE Ratio Historical Data,Ally Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,36.12,,13.89
2024-12-31,36.01,$2.60,13.85
2024-09-30,35.28,$2.50,14.11
2024-06-30,39.05,$2.32,16.83
2024-03-31,39.65,$2.45,16.18
2023-12-31,33.83,$2.99,11.32
2023-09-30,25.53,$3.66,6.98
2023-06-30,25.6,$3.66,6.99
2023-03-31,23.89,$4.07,5.87
2022-12-31,22.7,$4.97,4.57
2022-09-30,25.56,$5.93,4.31
2022-06-30,30.5,$6.94,4.4
2022-03-31,39.28,$7.95,4.94
2021-12-31,42.74,$8.20,5.21
2021-09-30,45.59,$8.23,5.54
2021-06-30,44.3,$7.60,5.83
2021-03-31,40.04,$5.83,6.87
2020-12-31,31.42,$2.87,10.95
2020-09-30,21.93,$2.04,10.75
2020-06-30,17.19,$1.75,9.82
2020-03-31,12.37,$2.57,4.81
2019-12-31,26.03,$4.34,6.0
2019-09-30,28.09,$4.05,6.94
2019-06-30,26.12,$3.96,6.6
2019-03-31,23.04,$3.31,6.96
2018-12-31,18.87,$2.96,6.37
2018-09-30,21.89,$2.67,8.2
2018-06-30,21.62,$2.42,8.94
2018-03-31,22.24,$2.16,10.3
2017-12-31,23.78,$2.05,11.6
2017-09-30,19.69,$2.16,9.12
2017-06-30,16.88,$1.96,8.61
2017-03-31,16.35,$2.12,7.71
2016-12-31,15.24,$2.15,7.09
2016-09-30,15.53,$-0.34,0.0
2016-06-30,13.55,$-0.30,0.0
2016-03-31,14.86,$-3.23,0.0
2015-12-31,14.8,$-2.66,0.0
2015-09-30,16.18,$-0.46,0.0
2015-06-30,17.81,$-0.19,0.0
2015-03-31,16.66,$2.57,6.48
2014-12-31,18.76,$1.84,10.19
