Stellus Capital Investment PE Ratio Historical Data,Stellus Capital Investment PE Ratio Historical Data,Stellus Capital Investment PE Ratio Historical Data,Stellus Capital Investment PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.35,,7.97
2024-12-31,13.76,$1.80,7.64
2024-09-30,13.43,$1.96,6.85
2024-06-30,13.09,$1.26,10.39
2024-03-31,12.23,$1.08,11.33
2023-12-31,11.65,$0.78,14.94
2023-09-30,11.95,$0.50,23.9
2023-06-30,12.02,$0.81,14.84
2023-03-31,11.71,$0.71,16.49
2022-12-31,10.72,$0.74,14.49
2022-09-30,9.41,$1.07,8.79
2022-06-30,8.55,$1.53,5.59
2022-03-31,10.38,$1.75,5.93
2021-12-31,9.49,$1.73,5.49
2021-09-30,9.33,$2.06,4.53
2021-06-30,8.79,$1.79,4.91
2021-03-31,8.7,$3.54,2.46
2020-12-31,7.29,$1.03,7.08
2020-09-30,5.68,$0.25,22.71
2020-06-30,4.48,$0.31,14.45
2020-03-31,4.48,$-1.41,0.0
2019-12-31,8.48,$1.47,5.77
2019-09-30,7.93,$1.54,5.15
2019-06-30,7.85,$1.65,4.76
2019-03-31,7.84,$1.81,4.33
2018-12-31,7.0,$1.65,4.24
2018-09-30,7.25,$1.80,4.03
2018-06-30,6.62,$1.60,4.14
2018-03-31,5.81,$1.51,3.85
2017-12-31,6.44,$1.53,4.21
2017-09-30,6.53,$1.68,3.88
2017-06-30,6.39,$2.12,3.02
2017-03-31,6.62,$2.14,3.09
2016-12-31,5.36,$1.86,2.88
2016-09-30,4.7,$1.32,3.56
2016-06-30,4.29,$0.47,9.12
2016-03-31,4.14,$0.38,10.89
2015-12-31,3.76,$0.61,6.16
2015-09-30,3.8,$0.78,4.87
2015-06-30,4.17,$1.00,4.17
2015-03-31,4.29,$0.90,4.77
2014-12-31,4.07,$0.83,4.91
2014-09-30,4.68,$1.05,4.46
2014-06-30,4.83,$1.20,4.03
2014-03-31,4.62,$1.35,3.42
2013-12-31,4.67,$1.45,3.22
2013-09-30,4.58,$1.15,3.98
