Piedmont Lithium PE Ratio Historical Data,Piedmont Lithium PE Ratio Historical Data,Piedmont Lithium PE Ratio Historical Data,Piedmont Lithium PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.03,,0.0
2024-12-31,8.74,$-3.32,0.0
2024-09-30,8.93,$-4.09,0.0
2024-06-30,9.98,$-2.04,0.0
2024-03-31,13.32,$-1.90,0.0
2023-12-31,28.23,$-1.15,0.0
2023-09-30,39.7,$-0.45,0.0
2023-06-30,57.71,$-0.72,0.0
2023-03-31,60.05,$-0.70,0.0
2022-12-31,44.02,$-0.80,0.0
2022-09-30,53.49,$-0.18,0.0
2022-06-30,36.41,$-1.10,0.0
2022-03-31,72.99,$-0.57,0.0
2021-12-31,52.46,0,0.0
2021-09-30,54.46,0,0.0
2021-06-30,78.16,0,0.0
2021-03-31,69.49,0,0.0
2020-12-31,26.55,0,0.0
2020-09-30,23.42,0,0.0
2020-06-30,5.77,0,0.0
2020-03-31,5.09,0,0.0
