Phio Pharmaceuticals PE Ratio Historical Data,Phio Pharmaceuticals PE Ratio Historical Data,Phio Pharmaceuticals PE Ratio Historical Data,Phio Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.33,,0.0
2024-09-30,3.45,$-10.92,0.0
2024-06-30,6.23,$-19.64,0.0
2024-03-31,6.12,$-29.25,0.0
2023-12-31,6.84,$-53.38,0.0
2023-09-30,13.59,$-51.85,0.0
2023-06-30,25.83,$-69.68,0.0
2023-03-31,50.58,$-76.98,0.0
2022-12-31,40.18,$-69.15,0.0
2022-09-30,61.7,$-96.17,0.0
2022-06-30,75.83,$-98.33,0.0
2022-03-31,95.8,$-99.41,0.0
2021-12-31,108.0,$-113.46,0.0
2021-09-30,219.24,$-130.75,0.0
2021-06-30,244.08,$-143.71,0.0
2021-03-31,289.44,$-158.84,0.0
2020-12-31,290.52,$-267.97,0.0
2020-09-30,231.12,$-730.45,0.0
2020-06-30,236.52,"$-1,162.19",0.0
2020-03-31,191.16,"$-1,600.41",0.0
2019-12-31,1015.74,"$-2,050.40",0.0
2019-09-30,1634.09,"$-2,137.33",0.0
2019-06-30,2257.2,"$-3,680.96",0.0
2019-03-31,2673.0,"$-5,937.03",0.0
2018-12-31,1959.61,"$-10,686.66",0.0
2018-09-30,6949.8,"$-15,080.07",0.0
2018-06-30,11464.2,"$-19,592.21",0.0
2018-03-31,19126.8,"$-23,391.91",0.0
2017-12-31,33014.52,"$-34,078.57",0.0
2017-09-30,28512.0,"$-64,713.66",0.0
2017-06-30,34814.34,"$-78,368.85",0.0
2017-03-31,48114.0,"$-92,024.03",0.0
2016-12-31,42453.18,"$-96,179.96",0.0
2016-09-30,109890.0,"$-84,305.89",0.0
2016-06-30,142560.0,"$-87,868.10",0.0
2016-03-31,160380.0,"$-97,367.35",0.0
2015-12-31,226908.0,"$-154,362.86",0.0
2015-09-30,220314.6,"$-207,796.16",0.0
2015-06-30,291060.0,"$-284,977.63",0.0
2015-03-31,427679.99,"$-391,844.26",0.0
2014-12-31,950399.99,"$-504,647.93",0.0
2014-09-30,1187999.99,"$-641,199.70",0.0
2014-06-30,1793879.98,"$-718,381.10",0.0
2014-03-31,2536379.97,"$-581,829.30",0.0
2013-12-31,1722599.98,"$-391,844.20",0.0
2013-09-30,2078999.98,"$-178,111.00",0.0
2013-06-30,3385799.96,0,0.0
2013-03-31,4989599.94,0,0.0
