Bank Of America PE Ratio Historical Data,Bank Of America PE Ratio Historical Data,Bank Of America PE Ratio Historical Data,Bank Of America PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,42.48,,13.19
2024-12-31,43.95,$3.22,13.65
2024-09-30,39.46,$2.75,14.35
2024-06-30,39.29,$2.84,13.83
2024-03-31,37.46,$2.89,12.96
2023-12-31,33.03,$3.07,10.76
2023-09-30,26.65,$3.57,7.47
2023-06-30,27.69,$3.48,7.96
2023-03-31,27.39,$3.33,8.23
2022-12-31,31.51,$3.19,9.88
2022-09-30,28.56,$3.16,9.04
2022-06-30,29.25,$3.20,9.14
2022-03-31,38.51,$3.50,11.0
2021-12-31,41.36,$3.56,11.62
2021-09-30,39.28,$3.33,11.8
2021-06-30,37.96,$2.99,12.69
2021-03-31,35.47,$2.33,15.22
2020-12-31,27.65,$1.87,14.79
2020-09-30,21.84,$2.02,10.81
2020-06-30,21.38,$2.07,10.33
2020-03-31,18.99,$2.44,7.78
2019-12-31,31.29,$2.74,11.42
2019-09-30,25.77,$2.70,9.55
2019-06-30,25.46,$2.80,9.09
2019-03-31,24.09,$2.69,8.96
2018-12-31,21.41,$2.61,8.2
2018-09-30,25.45,$2.11,12.06
2018-06-30,24.23,$1.93,12.56
2018-03-31,25.67,$1.76,14.59
2017-12-31,25.18,$1.55,16.24
2017-09-30,21.52,$1.75,12.3
2017-06-30,20.5,$1.68,12.2
2017-03-31,19.87,$1.58,12.57
2016-12-31,18.56,$1.38,13.45
2016-09-30,13.09,$1.26,10.39
2016-06-30,11.05,$1.22,9.06
2016-03-31,11.22,$1.31,8.57
2015-12-31,13.92,$1.37,10.16
2015-09-30,12.85,$1.34,9.59
2015-06-30,13.99,$0.96,14.57
2015-03-31,12.61,$0.70,18.02
2014-12-31,14.62,$0.38,38.47
2014-09-30,13.89,$0.42,33.07
2014-06-30,12.48,$0.63,19.81
2014-03-31,13.96,$0.76,18.37
2013-12-31,12.63,$1.01,12.5
2013-09-30,11.19,$0.75,14.92
2013-06-30,10.42,$0.55,18.94
2013-03-31,9.86,$0.42,23.47
2012-12-31,9.39,$0.25,37.56
2012-09-30,7.13,$0.37,19.28
2012-06-30,6.6,$0.95,6.95
2012-03-31,7.71,$-0.14,0.0
2011-12-31,4.47,$-0.00,0.0
2011-09-30,4.92,$-0.31,0.0
2011-06-30,8.79,$-1.66,0.0
2011-03-31,10.69,$-0.49,0.0
2010-12-31,10.69,$-0.38,0.0
2010-09-30,10.49,$-0.82,0.0
2010-06-30,11.49,$-0.31,0.0
2010-03-31,14.27,$-0.25,0.0
2009-12-31,12.03,$-0.09,0.0
