Zoomcar Holdings PE Ratio Historical Data,Zoomcar Holdings PE Ratio Historical Data,Zoomcar Holdings PE Ratio Historical Data,Zoomcar Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.24,,0.0
2024-12-31,1.81,$-8.39,0.0
2024-09-30,0.14,$4.17,0.03
2024-06-30,0.15,$8.60,0.02
2024-03-31,0.61,$9.00,0.07
2023-12-31,3.69,$9.00,0.41
2023-09-30,11.29,0,0.0
2023-06-30,10.9,0,0.0
2023-03-31,10.65,0,0.0
2022-12-31,10.3,0,0.0
