Aviat Networks PE Ratio Historical Data,Aviat Networks PE Ratio Historical Data,Aviat Networks PE Ratio Historical Data,Aviat Networks PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,19.85,,0.0
2024-12-31,18.11,$-0.20,0.0
2024-09-30,21.63,$-0.31,0.0
2024-06-30,28.69,$0.97,29.58
2024-03-31,38.34,$1.13,33.93
2023-12-31,32.66,$1.27,25.72
2023-09-30,31.2,$1.54,20.26
2023-06-30,33.37,$0.95,35.13
2023-03-31,34.46,$1.06,32.51
2022-12-31,31.19,$1.16,26.89
2022-09-30,27.38,$1.14,24.02
2022-06-30,25.04,$1.78,14.07
2022-03-31,30.77,$1.63,18.88
2021-12-31,32.08,$9.12,3.52
2021-09-30,32.86,$9.21,3.57
2021-06-30,32.77,$9.36,3.5
2021-03-31,35.52,$9.22,3.85
2020-12-31,17.08,$1.29,13.29
2020-09-30,10.98,$0.55,19.96
2020-06-30,9.13,$0.02,456.25
2020-03-31,4.25,$0.26,16.35
2019-12-31,7.03,$0.59,12.01
2019-09-30,6.83,$0.95,7.22
2019-06-30,6.85,$0.87,7.87
2019-03-31,7.68,$0.53,14.49
2018-12-31,6.63,$-0.11,0.0
2018-09-30,8.08,$0.14,57.68
2018-06-30,8.19,$0.15,54.57
2018-03-31,8.38,$0.01,0.0
2017-12-31,7.59,$0.21,36.12
2017-09-30,8.51,$-0.09,0.0
2017-06-30,8.7,$-0.09,0.0
2017-03-31,7.53,$-1.39,0.0
2016-12-31,6.92,$-2.13,0.0
2016-09-30,4.65,$-2.82,0.0
2016-06-30,3.89,$-2.88,0.0
2016-03-31,4.26,$-1.62,0.0
2015-12-31,4.61,$-1.92,0.0
2015-09-30,6.24,$-1.68,0.0
2015-06-30,7.56,$-2.10,0.0
2015-03-31,7.14,$-3.12,0.0
2014-12-31,9.0,$-3.48,0.0
2014-09-30,10.8,$-4.14,0.0
2014-06-30,7.68,$-4.92,0.0
2014-03-31,9.54,$-4.32,0.0
2013-12-31,13.56,$-3.06,0.0
2013-09-30,15.42,$-2.64,0.0
2013-06-30,15.72,$-1.56,0.0
2013-03-31,20.22,$-1.08,0.0
2012-12-31,19.74,$-1.20,0.0
2012-09-30,14.28,$-1.98,0.0
2012-06-30,16.8,$-2.46,0.0
2012-03-31,16.92,$-4.38,0.0
2011-12-31,10.98,$-7.86,0.0
2011-09-30,14.1,$-7.80,0.0
2011-06-30,23.64,$-9.24,0.0
2011-03-31,31.02,$-16.15,0.0
2010-12-31,30.42,$-14.95,0.0
2010-09-30,24.54,$-14.47,0.0
2010-06-30,21.78,$-13.09,0.0
2010-03-31,39.78,$-4.50,0.0
2009-12-31,41.46,$-5.82,0.0
