OptimumBank Holdings PE Ratio Historical Data,OptimumBank Holdings PE Ratio Historical Data,OptimumBank Holdings PE Ratio Historical Data,OptimumBank Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.22,,3.2
2024-12-31,4.76,$1.32,3.61
2024-09-30,4.57,$1.32,3.46
2024-06-30,4.3,$1.18,3.64
2024-03-31,4.29,$1.02,4.21
2023-12-31,4.18,$0.87,4.81
2023-09-30,3.18,$0.76,4.19
2023-06-30,2.88,$0.69,4.17
2023-03-31,3.31,$0.67,4.94
2022-12-31,4.09,$0.68,6.01
2022-09-30,4.07,$1.58,2.58
2022-06-30,4.0,$1.68,2.38
2022-03-31,4.21,$1.66,2.54
2021-12-31,3.93,$1.60,2.46
2021-09-30,5.18,$0.58,8.93
2021-06-30,4.82,$0.20,24.12
2021-03-31,3.87,$-0.06,0.0
2020-12-31,3.37,$-0.28,0.0
2020-09-30,2.72,$-0.53,0.0
2020-06-30,2.44,$-0.51,0.0
2020-03-31,2.49,$-0.62,0.0
2019-12-31,2.77,$-0.59,0.0
2019-09-30,2.99,$-0.96,0.0
2019-06-30,3.5,$-0.94,0.0
2019-03-31,3.95,$0.64,6.17
2018-12-31,3.0,$0.48,6.25
2018-09-30,5.08,$0.91,5.58
2018-06-30,4.5,$0.99,4.55
2018-03-31,4.23,$-0.52,0.0
2017-12-31,4.7,$-0.54,0.0
2017-09-30,2.08,$-0.55,0.0
2017-06-30,2.99,$-0.48,0.0
2017-03-31,3.15,$-0.37,0.0
2016-12-31,3.78,$-0.40,0.0
2016-09-30,4.75,$-0.48,0.0
2016-06-30,3.75,$-0.40,0.0
2016-03-31,4.67,$-0.35,0.0
2015-12-31,3.72,$-0.26,0.0
2015-09-30,10.7,$-0.10,0.0
2015-06-30,9.9,$-0.30,0.0
2015-03-31,8.9,$1.30,6.85
2014-12-31,10.51,$1.90,5.53
2014-09-30,12.8,$-0.60,0.0
2014-06-30,12.6,$-1.00,0.0
2014-03-31,11.2,$-5.50,0.0
2013-12-31,14.95,$-8.70,0.0
2013-09-30,15.8,$-9.00,0.0
2013-06-30,15.5,$-10.10,0.0
2013-03-31,19.2,$-8.40,0.0
2012-12-31,19.6,$-6.80,0.0
2012-09-30,24.6,$-4.00,0.0
2012-06-30,25.64,$-30.00,0.0
2012-03-31,140.8,$-28.80,0.0
2011-12-31,20.0,$-84.00,0.0
2011-09-30,30.4,$-84.00,0.0
2011-06-30,38.0,$-56.40,0.0
2011-03-31,84.0,$-160.40,0.0
2010-12-31,198.4,$-256.00,0.0
2010-09-30,140.8,$-552.00,0.0
2010-06-30,80.0,$-568.00,0.0
2010-03-31,137.6,$-502.40,0.0
2009-12-31,347.2,$-347.35,0.0
