Waterstone Financial PE Ratio Historical Data,Waterstone Financial PE Ratio Historical Data,Waterstone Financial PE Ratio Historical Data,Waterstone Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.73,,13.59
2024-12-31,13.44,$1.01,13.31
2024-09-30,14.54,$0.73,19.92
2024-06-30,12.5,$0.63,19.85
2024-03-31,11.74,$0.52,22.58
2023-12-31,13.55,$0.46,29.46
2023-09-30,10.3,$0.50,20.61
2023-06-30,13.45,$0.59,22.8
2023-03-31,13.86,$0.75,18.48
2022-12-31,15.61,$0.88,17.74
2022-09-30,14.45,$1.37,10.55
2022-06-30,15.07,$1.91,7.89
2022-03-31,16.92,$2.29,7.39
2021-12-31,18.52,$2.95,6.28
2021-09-30,17.19,$3.59,4.79
2021-06-30,16.33,$3.88,4.21
2021-03-31,16.39,$3.99,4.11
2020-12-31,14.95,$3.37,4.44
2020-09-30,12.01,$2.54,4.73
2020-06-30,11.4,$1.88,6.06
2020-03-31,11.07,$1.40,7.91
2019-12-31,13.97,$1.37,10.2
2019-09-30,12.53,$1.24,10.1
2019-06-30,12.35,$1.13,10.93
2019-03-31,11.83,$1.10,10.75
2018-12-31,11.6,$1.11,10.45
2018-09-30,11.79,$1.01,11.67
2018-06-30,11.64,$0.96,12.12
2018-03-31,11.73,$0.94,12.48
2017-12-31,11.16,$0.93,11.99
2017-09-30,12.68,$1.05,12.08
2017-06-30,12.18,$1.06,11.49
2017-03-31,11.41,$1.03,11.08
2016-12-31,11.43,$0.93,12.29
2016-09-30,10.51,$0.81,12.97
2016-06-30,9.43,$0.73,12.92
2016-03-31,8.39,$0.61,13.75
2015-12-31,8.61,$0.56,15.38
2015-09-30,8.2,$0.53,15.48
2015-06-30,8.0,$0.48,16.67
2015-03-31,7.75,$0.42,18.46
2014-12-31,7.91,$0.33,23.97
2014-09-30,6.92,$0.31,22.32
2014-06-30,6.8,$0.26,26.06
2014-03-31,6.17,$0.30,20.77
2013-12-31,6.59,$0.43,15.19
2013-09-30,6.02,$0.90,6.68
2013-06-30,6.03,$1.06,5.7
2013-03-31,4.91,$1.09,4.49
2012-12-31,4.63,$1.02,4.53
2012-09-30,3.08,$0.35,8.89
2012-06-30,2.26,$0.09,24.73
2012-03-31,1.87,$-0.11,0.0
2011-12-31,1.12,$-0.22,0.0
2011-09-30,1.54,$-0.09,0.0
2011-06-30,1.34,$-0.10,0.0
2011-03-31,1.82,$-0.12,0.0
2010-12-31,1.93,$-0.06,0.0
2010-09-30,2.37,$-0.18,0.0
2010-06-30,2.02,$-0.27,0.0
2010-03-31,2.15,$-0.19,0.0
2009-12-31,1.22,$-0.31,0.0
