Yatsen Holding PE Ratio Historical Data,Yatsen Holding PE Ratio Historical Data,Yatsen Holding PE Ratio Historical Data,Yatsen Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.4,,0.0
2024-09-30,3.41,$-1.09,0.0
2024-06-30,2.66,$-1.17,0.0
2024-03-31,2.11,$-1.21,0.0
2023-12-31,0.73,$-1.00,0.0
2023-09-30,1.0,$-0.40,0.0
2023-06-30,1.01,$-0.40,0.0
2023-03-31,1.48,$-0.55,0.0
2022-12-31,1.46,$-0.95,0.0
2022-09-30,1.09,$-1.50,0.0
2022-06-30,1.55,$-1.70,0.0
2022-03-31,0.69,$-1.90,0.0
2021-12-31,2.15,$-1.95,0.0
2021-09-30,3.81,$-4.45,0.0
