Nerdy PE Ratio Historical Data,Nerdy PE Ratio Historical Data,Nerdy PE Ratio Historical Data,Nerdy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.57,,0.0
2024-12-31,1.62,$-0.38,0.0
2024-09-30,0.98,$-0.34,0.0
2024-06-30,1.67,$-0.33,0.0
2024-03-31,2.91,$-0.28,0.0
2023-12-31,3.43,$-0.42,0.0
2023-09-30,3.7,$-0.47,0.0
2023-06-30,4.17,$-0.55,0.0
2023-03-31,4.18,$-0.43,0.0
2022-12-31,2.25,$-0.43,0.0
2022-09-30,2.11,$-0.11,0.0
2022-06-30,2.13,$-0.17,0.0
2022-03-31,5.09,$-0.26,0.0
2021-12-31,4.5,$-0.12,0.0
2021-09-30,9.99,$-0.34,0.0
