Cerence PE Ratio Historical Data,Cerence PE Ratio Historical Data,Cerence PE Ratio Historical Data,Cerence PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.57,,0.0
2024-12-31,7.85,$-15.22,0.0
2024-09-30,3.15,$-14.12,0.0
2024-06-30,2.83,$-13.92,0.0
2024-03-31,15.75,$-6.83,0.0
2023-12-31,19.66,$-0.82,0.0
2023-09-30,20.37,$-1.40,0.0
2023-06-30,29.23,$-6.95,0.0
2023-03-31,28.09,$-9.07,0.0
2022-12-31,18.53,$-8.43,0.0
2022-09-30,15.75,$-7.91,0.0
2022-06-30,25.23,$-1.87,0.0
2022-03-31,36.1,$0.81,44.57
2021-12-31,76.64,$1.10,69.67
2021-09-30,96.11,$1.17,82.15
2021-06-30,106.71,$1.14,93.61
2021-03-31,89.58,$0.22,407.18
2020-12-31,100.48,$0.27,372.15
2020-09-30,48.87,$-0.60,0.0
