Vroom PE Ratio Historical Data,Vroom PE Ratio Historical Data,Vroom PE Ratio Historical Data,Vroom PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,27.9,,0.0
2024-09-30,9.37,$-759.75,0.0
2024-06-30,9.32,$-885.80,0.0
2024-03-31,13.43,"$-1,018.95",0.0
2023-12-31,0.6,"$-1,046.55",0.0
2023-09-30,1.12,$-572.00,0.0
2023-06-30,1.44,$-484.00,0.0
2023-03-31,0.9,$-624.00,0.0
2022-12-31,1.02,"$-1,312.00",0.0
2022-09-30,1.16,"$-1,764.00",0.0
2022-06-30,1.25,"$-1,904.00",0.0
2022-03-31,2.66,"$-1,764.00",0.0
2021-12-31,10.79,"$-1,088.00",0.0
2021-09-30,22.07,$-892.00,0.0
2021-06-30,41.86,$-728.00,0.0
2021-03-31,38.99,$-748.00,0.0
