Hudson Technologies PE Ratio Historical Data,Hudson Technologies PE Ratio Historical Data,Hudson Technologies PE Ratio Historical Data,Hudson Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.03,,11.82
2024-12-31,5.58,$0.51,10.94
2024-09-30,8.34,$0.65,12.83
2024-06-30,8.79,$0.77,11.42
2024-03-31,11.01,$0.98,11.23
2023-12-31,13.49,$1.11,12.15
2023-09-30,13.3,$1.14,11.67
2023-06-30,9.62,$1.47,6.54
2023-03-31,8.73,$1.90,4.59
2022-12-31,10.12,$2.20,4.6
2022-09-30,7.35,$2.22,3.31
2022-06-30,7.51,$1.94,3.87
2022-03-31,6.21,$1.34,4.63
2021-12-31,4.44,$0.69,6.43
2021-09-30,3.53,$0.45,7.84
2021-06-30,3.4,$0.11,30.91
2021-03-31,1.61,$-0.07,0.0
2020-12-31,1.09,$-0.12,0.0
2020-09-30,1.15,$-0.26,0.0
2020-06-30,1.01,$-0.20,0.0
2020-03-31,0.69,$-0.58,0.0
2019-12-31,0.98,$-0.60,0.0
2019-09-30,0.71,$-0.54,0.0
2019-06-30,0.86,$-0.93,0.0
2019-03-31,1.93,$-1.28,0.0
2018-12-31,0.89,$-1.26,0.0
2018-09-30,1.28,$-1.19,0.0
2018-06-30,2.01,$-0.81,0.0
2018-03-31,4.94,$0.06,82.33
2017-12-31,6.07,$0.26,23.35
2017-09-30,7.81,$0.33,23.67
2017-06-30,8.45,$0.42,20.12
2017-03-31,6.6,$0.36,18.33
2016-12-31,8.01,$0.32,25.03
2016-09-30,6.65,$0.34,19.56
2016-06-30,3.6,$0.23,15.65
2016-03-31,3.28,$0.17,19.29
2015-12-31,2.97,$0.14,21.21
2015-09-30,2.97,$0.14,21.21
2015-06-30,3.49,$0.11,31.73
2015-03-31,4.17,$0.04,104.25
2014-12-31,3.77,$-0.01,0.0
2014-09-30,3.31,$-0.04,0.0
2014-06-30,2.89,$-0.40,0.0
2014-03-31,2.8,$-0.40,0.0
2013-12-31,3.7,$-0.24,0.0
2013-09-30,2.03,$-0.07,0.0
2013-06-30,3.19,$0.37,8.62
2013-03-31,4.05,$0.56,7.23
2012-12-31,3.64,$0.49,7.43
2012-09-30,3.63,$0.35,10.37
2012-06-30,4.12,$0.27,15.26
2012-03-31,3.29,$0.10,32.9
2011-12-31,1.45,$0.04,36.25
2011-09-30,1.17,$0.05,23.4
2011-06-30,1.64,$0.06,27.33
2011-03-31,1.95,$0.09,21.67
2010-12-31,1.64,$0.04,41.0
2010-09-30,1.68,$-0.02,0.0
2010-06-30,2.04,$-0.06,0.0
2010-03-31,2.6,$-0.11,0.0
2009-12-31,1.46,$-0.11,0.0
