Northwest Bancshares PE Ratio Historical Data,Northwest Bancshares PE Ratio Historical Data,Northwest Bancshares PE Ratio Historical Data,Northwest Bancshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.0,,15.19
2024-12-31,13.19,$0.79,16.7
2024-09-30,13.2,$0.76,17.37
2024-06-30,11.22,$0.81,13.85
2024-03-31,11.11,$1.03,10.79
2023-12-31,11.71,$1.06,11.05
2023-09-30,9.41,$1.10,8.56
2023-06-30,9.59,$1.08,8.88
2023-03-31,10.69,$1.08,9.9
2022-12-31,12.25,$1.04,11.78
2022-09-30,11.68,$1.01,11.56
2022-06-30,10.91,$0.99,11.02
2022-03-31,11.33,$1.11,10.21
2021-12-31,11.71,$1.21,9.68
2021-09-30,10.83,$1.25,8.66
2021-06-30,10.95,$1.28,8.55
2021-03-31,11.44,$0.85,13.45
2020-12-31,9.94,$0.60,16.56
2020-09-30,7.05,$0.56,12.58
2020-06-30,7.68,$0.57,13.48
2020-03-31,8.53,$0.87,9.81
2019-12-31,12.12,$1.04,11.65
2019-09-30,11.82,$1.06,11.15
2019-06-30,12.56,$1.02,12.32
2019-03-31,11.98,$1.02,11.75
2018-12-31,11.84,$1.02,11.61
2018-09-30,11.98,$0.98,12.22
2018-06-30,11.92,$0.94,12.68
2018-03-31,11.23,$0.99,11.35
2017-12-31,11.23,$0.92,12.21
2017-09-30,11.49,$0.94,12.22
2017-06-30,10.28,$0.85,12.09
2017-03-31,10.98,$0.48,22.87
2016-12-31,11.65,$0.49,23.77
2016-09-30,10.05,$0.41,24.51
2016-06-30,9.39,$0.40,23.48
2016-03-31,8.46,$0.64,13.22
2015-12-31,8.28,$0.64,12.94
2015-09-30,7.96,$0.67,11.88
2015-06-30,7.76,$0.73,10.63
2015-03-31,7.09,$0.70,10.14
2014-12-31,7.41,$0.68,10.9
2014-09-30,7.09,$0.71,9.98
2014-06-30,7.86,$0.71,11.08
2014-03-31,7.8,$0.72,10.83
2013-12-31,7.77,$0.73,10.64
2013-09-30,6.88,$0.69,9.97
2013-06-30,6.97,$0.67,10.41
2013-03-31,6.42,$0.69,9.3
2012-12-31,6.15,$0.68,9.04
2012-09-30,6.07,$0.66,9.2
2012-06-30,5.75,$0.66,8.71
2012-03-31,6.18,$0.64,9.65
2011-12-31,5.99,$0.64,9.36
2011-09-30,5.68,$0.60,9.47
2011-06-30,5.95,$0.57,10.44
2011-03-31,5.88,$0.57,10.31
2010-12-31,5.48,$0.53,10.33
2010-09-30,5.15,$0.42,12.27
2010-06-30,5.24,$0.39,13.4
2010-03-31,5.32,$0.31,17.27
2009-12-31,5.06,$0.30,16.94
