Turning Point Brands PE Ratio Historical Data,Turning Point Brands PE Ratio Historical Data,Turning Point Brands PE Ratio Historical Data,Turning Point Brands PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,57.81,,27.27
2024-12-31,60.1,$2.12,28.35
2024-09-30,43.15,$2.52,17.12
2024-06-30,32.03,$2.42,13.24
2024-03-31,29.18,$2.27,12.86
2023-12-31,26.15,$2.05,12.76
2023-09-30,22.88,$0.59,38.78
2023-06-30,23.73,$0.61,38.9
2023-03-31,20.7,$0.38,54.47
2022-12-31,21.25,$0.52,40.87
2022-09-30,20.8,$2.02,10.3
2022-06-30,26.51,$2.07,12.81
2022-03-31,33.15,$2.50,13.26
2021-12-31,36.76,$2.52,14.59
2021-09-30,46.39,$2.60,17.84
2021-06-30,44.42,$2.35,18.9
2021-03-31,50.56,$2.09,24.19
2020-12-31,43.14,$1.68,25.68
2020-09-30,26.98,$0.41,65.81
2020-06-30,24.05,$0.32,75.16
2020-03-31,20.34,$0.51,39.88
2019-12-31,27.48,$0.68,40.41
2019-09-30,22.12,$1.55,14.27
2019-06-30,46.89,$1.64,28.59
2019-03-31,44.08,$1.45,30.4
2018-12-31,26.01,$1.27,20.48
2018-09-30,39.55,$1.20,32.96
2018-06-30,30.4,$1.18,25.77
2018-03-31,18.51,$1.09,16.98
2017-12-31,20.07,$1.04,19.3
2017-09-30,16.11,$1.73,9.31
2017-06-30,14.54,$1.69,8.6
2017-03-31,14.79,$1.36,10.87
