Abeona Therapeutics PE Ratio Historical Data,Abeona Therapeutics PE Ratio Historical Data,Abeona Therapeutics PE Ratio Historical Data,Abeona Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.14,,0.0
2024-09-30,6.32,$-2.69,0.0
2024-06-30,4.24,$-2.54,0.0
2024-03-31,7.25,$-3.20,0.0
2023-12-31,5.01,$-2.58,0.0
2023-09-30,4.21,$-1.94,0.0
2023-06-30,4.03,$-2.94,0.0
2023-03-31,2.82,$-4.10,0.0
2022-12-31,3.08,$-7.06,0.0
2022-09-30,3.04,$-18.31,0.0
2022-06-30,5.2,$-18.58,0.0
2022-03-31,7.88,$-20.50,0.0
2021-12-31,8.43,$-21.25,0.0
2021-09-30,28.0,$-14.25,0.0
2021-06-30,39.0,$-14.50,0.0
2021-03-31,47.0,$-14.00,0.0
2020-12-31,39.25,$-22.75,0.0
2020-09-30,25.5,$-26.00,0.0
2020-06-30,72.88,$-32.75,0.0
2020-03-31,52.5,$-41.50,0.0
2019-12-31,81.75,$-38.25,0.0
2019-09-30,56.5,$-39.75,0.0
2019-06-30,119.5,$-39.50,0.0
2019-03-31,184.0,$-33.50,0.0
2018-12-31,178.5,$-28.25,0.0
2018-09-30,320.0,$-24.00,0.0
2018-06-30,400.0,$-18.75,0.0
2018-03-31,358.75,$-17.75,0.0
2017-12-31,396.25,$-16.50,0.0
2017-09-30,426.25,$-16.50,0.0
2017-06-30,160.0,$-15.25,0.0
2017-03-31,125.0,$-15.00,0.0
2016-12-31,121.25,$-16.00,0.0
2016-09-30,150.0,$-12.75,0.0
2016-06-30,59.0,$-15.50,0.0
2016-03-31,64.0,$-14.50,0.0
2015-12-31,84.0,$-12.75,0.0
2015-09-30,101.25,$-173.50,0.0
2015-06-30,126.5,$-272.50,0.0
2015-03-31,78.5,$-906.00,0.0
2014-12-31,86.25,$-978.50,0.0
2014-09-30,350.0,$-903.75,0.0
2014-06-30,375.0,$-850.00,0.0
2014-03-31,687.5,$-175.00,0.0
2013-12-31,312.5,$62.50,5.0
2013-09-30,562.5,"$1,137.50",0.49
2013-06-30,600.0,$400.00,1.5
2013-03-31,612.5,$-212.50,0.0
2012-12-31,300.0,$-650.00,0.0
2012-09-30,562.5,"$-1,637.50",0.0
2012-06-30,812.5,$-850.00,0.0
2012-03-31,1412.5,$-387.50,0.0
2011-12-31,1800.0,$-262.50,0.0
2011-09-30,2562.5,$-100.00,0.0
2011-06-30,2562.5,"$-1,137.50",0.0
2011-03-31,2762.5,$-937.50,0.0
2010-12-31,3100.0,$-737.50,0.0
2010-09-30,2437.5,"$-1,862.50",0.0
2010-06-30,2450.0,"$-1,287.50",0.0
2010-03-31,3137.5,"$-1,675.00",0.0
2009-12-31,4112.5,"$-2,025.00",0.0
