Fonar PE Ratio Historical Data,Fonar PE Ratio Historical Data,Fonar PE Ratio Historical Data,Fonar PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.81,,12.01
2024-12-31,15.14,$1.15,13.17
2024-09-30,16.19,$1.40,11.56
2024-06-30,16.0,$1.53,10.46
2024-03-31,21.36,$1.56,13.69
2023-12-31,19.56,$1.84,10.63
2023-09-30,15.4,$1.62,9.51
2023-06-30,17.1,$1.32,12.95
2023-03-31,16.2,$1.16,13.97
2022-12-31,16.75,$0.93,18.01
2022-09-30,14.15,$1.18,11.99
2022-06-30,15.19,$1.44,10.55
2022-03-31,18.55,$1.44,12.88
2021-12-31,14.98,$1.66,9.02
2021-09-30,15.46,$1.53,10.1
2021-06-30,17.68,$1.34,13.19
2021-03-31,18.09,$1.42,12.74
2020-12-31,17.36,$1.06,16.38
2020-09-30,20.88,$1.06,19.7
2020-06-30,21.37,$1.17,18.26
2020-03-31,14.62,$1.75,8.35
2019-12-31,19.69,$2.13,9.24
2019-09-30,20.67,$2.20,9.4
2019-06-30,21.51,$2.21,9.73
2019-03-31,20.47,$2.99,6.85
2018-12-31,20.24,$2.94,6.88
2018-09-30,24.9,$3.04,8.19
2018-06-30,26.55,$3.10,8.56
2018-03-31,29.8,$2.53,11.78
2017-12-31,24.35,$2.90,8.4
2017-09-30,30.5,$2.92,10.45
2017-06-30,27.75,$2.92,9.5
2017-03-31,17.55,$3.01,5.83
2016-12-31,19.15,$2.58,7.42
2016-09-30,20.54,$2.48,8.28
2016-06-30,20.36,$2.37,8.59
2016-03-31,15.38,$2.27,6.78
2015-12-31,17.26,$2.13,8.1
2015-09-30,13.41,$2.00,6.71
2015-06-30,10.58,$1.95,5.42
2015-03-31,13.04,$1.71,7.62
2014-12-31,10.4,$1.66,6.27
2014-09-30,11.01,$1.59,6.92
2014-06-30,12.2,$1.58,7.72
2014-03-31,17.58,$1.70,10.34
2013-12-31,21.21,$1.61,13.17
2013-09-30,5.77,$1.49,3.87
2013-06-30,6.56,$1.34,4.9
2013-03-31,6.92,$0.82,8.44
2012-12-31,4.33,$0.85,5.09
2012-09-30,3.75,$0.88,4.26
2012-06-30,4.1,$0.90,4.56
2012-03-31,2.68,$0.72,3.72
2011-12-31,1.7,$0.72,2.37
2011-09-30,1.96,$0.72,2.72
2011-06-30,1.96,$0.55,3.56
2011-03-31,1.68,$0.52,3.23
2010-12-31,1.3,$0.32,4.06
2010-09-30,1.39,$-0.18,0.0
2010-06-30,1.47,$-0.60,0.0
2010-03-31,1.91,$-0.62,0.0
2009-12-31,1.57,$-0.62,0.0
