Walgreens PE Ratio Historical Data,Walgreens PE Ratio Historical Data,Walgreens PE Ratio Historical Data,Walgreens PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,11.12,,0.0
2024-11-30,9.02,$-10.24,0.0
2024-08-31,8.99,$-10.01,0.0
2024-05-31,15.39,$-6.74,0.0
2024-02-29,19.9,$-7.00,0.0
2023-11-30,18.45,$0.66,27.96
2023-08-31,22.88,$-3.57,0.0
2023-05-31,26.96,$-3.84,0.0
2023-02-28,31.07,$-3.65,0.0
2022-11-30,35.82,$-3.44,0.0
2022-08-31,29.91,$5.00,5.98
2022-05-31,36.93,$6.20,5.96
2022-02-28,38.38,$7.25,5.29
2021-11-30,36.93,$7.42,4.98
2021-08-31,41.43,$2.93,14.14
2021-05-31,42.57,$2.64,16.12
2021-02-28,38.41,$-0.69,0.0
2020-11-30,30.18,$-0.81,0.0
2020-08-31,29.82,$0.50,59.64
2020-05-31,33.3,$0.82,40.6
2020-02-29,35.08,$3.90,8.99
2019-11-30,45.29,$4.07,11.13
2019-08-31,38.61,$4.30,8.98
2019-05-31,36.89,$5.10,7.23
2019-02-28,52.78,$5.32,9.92
2018-11-30,62.39,$5.44,11.47
2018-08-31,50.25,$5.07,9.91
2018-05-31,45.45,$4.28,10.62
2018-02-28,49.88,$4.00,12.47
2017-11-30,52.37,$3.62,14.47
2017-08-31,58.34,$3.78,15.43
2017-05-31,57.71,$3.97,14.54
2017-02-28,61.25,$3.91,15.67
2016-11-30,59.82,$3.78,15.82
2016-08-31,56.72,$3.82,14.85
2016-05-31,54.15,$2.89,18.74
2016-02-29,54.98,$3.06,17.97
2015-11-30,58.25,$4.14,14.07
2015-08-31,59.73,$3.98,15.01
2015-05-31,59.01,$3.71,15.9
2015-02-28,56.89,$3.28,17.34
2014-11-30,46.78,$2.13,21.96
2014-08-31,41.06,$2.00,20.53
2014-05-31,48.52,$2.94,16.5
2014-02-28,45.64,$2.84,16.07
2013-11-30,39.55,$2.85,13.88
2013-08-31,31.94,$2.56,12.48
2013-05-31,31.54,$2.26,13.95
2013-02-28,26.88,$2.23,12.06
2012-11-30,22.12,$2.22,9.96
2012-08-31,23.14,$2.42,9.56
2012-05-31,19.6,$2.90,6.76
2012-02-29,21.14,$2.93,7.22
2011-11-30,21.36,$2.95,7.24
2011-08-31,22.14,$2.94,7.53
2011-05-31,27.27,$2.56,10.65
2011-02-28,26.98,$2.38,11.34
2010-11-30,21.6,$2.26,9.56
2010-08-31,16.58,$2.13,7.78
2010-05-31,19.64,$2.08,9.44
2010-02-28,21.52,$2.14,10.06
2009-11-30,23.65,$2.11,11.21
