PAVmed PE Ratio Historical Data,PAVmed PE Ratio Historical Data,PAVmed PE Ratio Historical Data,PAVmed PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.77,,0.0
2024-09-30,1.23,$-4.35,0.0
2024-06-30,0.82,$-8.19,0.0
2024-03-31,2.14,$-9.10,0.0
2023-12-31,4.12,$-9.33,0.0
2023-09-30,4.42,$-10.79,0.0
2023-06-30,6.12,$-12.74,0.0
2023-03-31,5.6,$-14.99,0.0
2022-12-31,7.2,$-15.14,0.0
2022-09-30,12.9,$-14.69,0.0
2022-06-30,14.02,$-12.59,0.0
2022-03-31,19.8,$-10.34,0.0
2021-12-31,36.9,$-9.30,0.0
2021-09-30,128.1,$-8.85,0.0
2021-06-30,96.0,$-8.25,0.0
2021-03-31,66.6,$-8.10,0.0
2020-12-31,31.8,$-11.09,0.0
2020-09-30,26.7,$-11.39,0.0
2020-06-30,31.65,$-11.24,0.0
2020-03-31,29.7,$-11.24,0.0
2019-12-31,18.0,$-8.25,0.0
2019-09-30,14.38,$-9.30,0.0
2019-06-30,17.1,$-9.60,0.0
2019-03-31,16.5,$-11.69,0.0
2018-12-31,14.43,$-12.89,0.0
2018-09-30,19.5,$-9.30,0.0
2018-06-30,14.25,$-13.49,0.0
2018-03-31,24.6,$-10.64,0.0
2017-12-31,34.28,$-12.29,0.0
2017-09-30,81.45,$-13.94,0.0
2017-06-30,67.57,$-10.05,0.0
