Arrow Financial PE Ratio Historical Data,Arrow Financial PE Ratio Historical Data,Arrow Financial PE Ratio Historical Data,Arrow Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,26.14,,14.77
2024-12-31,28.71,$1.77,16.22
2024-09-30,28.39,$1.96,14.48
2024-06-30,25.55,$1.89,13.52
2024-03-31,24.27,$1.72,14.11
2023-12-31,26.8,$1.77,15.1
2023-09-30,16.15,$2.02,7.98
2023-06-30,18.27,$2.28,8.01
2023-03-31,22.27,$2.64,8.44
2022-12-31,30.03,$2.87,10.47
2022-09-30,25.34,$2.75,9.2
2022-06-30,26.92,$2.80,9.62
2022-03-31,27.22,$2.87,9.48
2021-12-31,29.35,$2.91,10.07
2021-09-30,28.41,$3.06,9.28
2021-06-30,28.65,$2.95,9.72
2021-03-31,26.37,$2.71,9.73
2020-12-31,23.48,$2.41,9.73
2020-09-30,19.53,$2.25,8.68
2020-06-30,22.26,$2.19,10.14
2020-03-31,20.68,$2.19,9.45
2019-12-31,27.83,$2.23,12.51
2019-09-30,24.41,$2.17,11.27
2019-06-30,24.45,$2.12,11.52
2019-03-31,22.97,$2.17,10.61
2018-12-31,22.2,$2.16,10.28
2018-09-30,25.65,$2.13,12.06
2018-06-30,24.33,$2.02,12.06
2018-03-31,22.55,$1.87,12.05
2017-12-31,22.37,$1.76,12.72
2017-09-30,22.48,$1.67,13.45
2017-06-30,19.96,$1.63,12.21
2017-03-31,21.21,$1.61,13.2
2016-12-31,25.16,$1.60,15.7
2016-09-30,20.26,$1.61,12.61
2016-06-30,18.01,$1.56,11.52
2016-03-31,15.66,$1.55,10.12
2015-12-31,15.87,$1.51,10.52
2015-09-30,15.46,$1.49,10.35
2015-06-30,15.2,$1.51,10.07
2015-03-31,15.12,$1.46,10.33
2014-12-31,15.17,$1.43,10.58
2014-09-30,13.7,$1.40,9.76
2014-06-30,13.77,$1.37,10.02
2014-03-31,13.9,$1.35,10.28
2013-12-31,13.83,$1.35,10.28
2013-09-30,13.1,$1.33,9.84
2013-06-30,12.4,$1.34,9.26
2013-03-31,12.22,$1.37,8.92
2012-12-31,12.25,$1.38,8.89
2012-09-30,12.15,$1.37,8.86
2012-06-30,11.4,$1.35,8.45
2012-03-31,11.39,$1.36,8.36
2011-12-31,10.82,$1.37,7.92
2011-09-30,10.17,$1.36,7.5
2011-06-30,10.74,$1.37,7.82
2011-03-31,10.75,$1.37,7.86
2010-12-31,11.83,$1.37,8.62
2010-09-30,10.69,$1.37,7.79
2010-06-30,9.45,$1.33,7.09
2010-03-31,10.89,$1.28,8.49
2009-12-31,10.03,$1.37,7.34
