TechTarget PE Ratio Historical Data,TechTarget PE Ratio Historical Data,TechTarget PE Ratio Historical Data,TechTarget PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.26,,0.0
2024-09-30,24.45,$-0.42,0.0
2024-06-30,31.17,$-0.30,0.0
2024-03-31,33.08,$-0.25,0.0
2023-12-31,34.86,$0.16,217.88
2023-09-30,30.36,$0.45,67.47
2023-06-30,31.13,$0.85,36.62
2023-03-31,36.12,$1.13,31.96
2022-12-31,44.06,$1.30,33.89
2022-09-30,59.2,$0.52,113.85
2022-06-30,65.72,$0.38,172.95
2022-03-31,81.28,$0.17,478.12
2021-12-31,95.66,0,0.0
2021-09-30,82.42,$0.67,123.01
2021-06-30,77.49,$0.59,131.34
2021-03-31,69.45,$0.59,117.71
2020-12-31,59.11,$0.61,96.9
2020-09-30,43.96,$0.63,69.78
2020-06-30,30.03,$0.58,51.78
2020-03-31,20.61,$0.56,36.8
2019-12-31,26.1,$0.60,43.5
2019-09-30,22.53,$0.55,40.95
2019-06-30,21.25,$0.49,43.37
2019-03-31,16.27,$0.49,33.2
2018-12-31,12.21,$0.44,27.75
2018-09-30,19.42,$0.47,41.32
2018-06-30,28.4,$0.41,69.27
2018-03-31,19.88,$0.31,64.13
2017-12-31,13.92,$0.24,58.0
2017-09-30,11.94,$0.12,99.5
2017-06-30,10.37,$0.05,207.4
2017-03-31,9.03,$0.07,129.0
2016-12-31,8.53,$0.07,121.86
2016-09-30,8.06,$0.13,62.0
2016-06-30,8.1,$0.19,42.63
2016-03-31,7.42,$0.20,37.1
2015-12-31,8.03,$0.21,38.24
2015-09-30,8.52,$0.20,42.6
2015-06-30,8.93,$0.17,52.53
2015-03-31,11.53,$0.13,88.69
2014-12-31,11.37,$0.12,94.75
2014-09-30,8.59,$0.07,122.71
2014-06-30,8.82,$0.05,176.4
2014-03-31,7.21,$-0.01,0.0
2013-12-31,6.86,$-0.05,0.0
2013-09-30,4.98,$-0.03,0.0
2013-06-30,4.47,$-0.02,0.0
2013-03-31,4.89,$0.05,97.8
2012-12-31,5.55,$0.10,55.5
2012-09-30,5.91,$0.13,45.46
2012-06-30,5.04,$0.13,38.77
2012-03-31,6.93,$0.12,57.75
2011-12-31,5.84,$0.11,53.09
2011-09-30,5.71,$0.09,63.44
2011-06-30,7.57,$0.06,126.17
2011-03-31,8.91,$0.03,297.0
2010-12-31,7.93,$-0.03,0.0
2010-09-30,5.25,$-0.08,0.0
2010-06-30,5.38,$-0.10,0.0
2010-03-31,5.23,$-0.12,0.0
2009-12-31,5.63,$-0.12,0.0
