Microchip Technology PE Ratio Historical Data,Microchip Technology PE Ratio Historical Data,Microchip Technology PE Ratio Historical Data,Microchip Technology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,51.0,,91.07
2024-12-31,57.35,$0.56,102.41
2024-09-30,79.75,$1.43,55.77
2024-06-30,90.37,$2.50,36.15
2024-03-31,88.18,$3.47,25.41
2023-12-31,88.17,$4.28,20.6
2023-09-30,75.91,$4.55,16.68
2023-06-30,86.69,$4.32,20.07
2023-03-31,80.67,$4.01,20.12
2022-12-31,67.35,$3.69,18.25
2022-09-30,58.25,$3.27,17.81
2022-06-30,55.2,$2.72,20.3
2022-03-31,71.12,$2.27,31.4
2021-12-31,82.12,$1.70,48.3
2021-09-30,72.19,$1.15,63.04
2021-06-30,70.21,$0.85,82.6
2021-03-31,72.58,$0.65,112.53
2020-12-31,64.43,$0.64,101.46
2020-09-30,47.8,$1.17,40.85
2020-06-30,48.81,$1.25,39.05
2020-03-31,31.3,$1.11,28.2
2019-12-31,48.18,$1.27,38.09
2019-09-30,42.58,$0.77,55.65
2019-06-30,39.57,$0.74,53.47
2019-03-31,37.69,$0.71,53.08
2018-12-31,32.54,$0.65,50.06
2018-09-30,35.52,$0.02,2368.29
2018-06-30,40.76,$0.21,194.12
2018-03-31,40.79,$0.49,83.24
2017-12-31,39.07,$0.49,80.55
2017-09-30,39.75,$1.25,31.8
2017-06-30,34.02,$0.94,36.39
2017-03-31,32.38,$0.32,101.19
2016-12-31,28.01,$0.19,147.43
2016-09-30,26.99,$0.10,269.86
2016-06-30,21.92,$0.18,121.75
2016-03-31,20.65,$0.75,27.72
2015-12-31,19.77,$0.82,24.26
2015-09-30,18.17,$0.87,20.88
2015-06-30,19.84,$0.93,21.33
2015-03-31,20.3,$0.83,24.46
2014-12-31,18.6,$0.86,21.75
2014-09-30,19.31,$0.90,21.46
2014-06-30,19.81,$0.92,21.53
2014-03-31,19.24,$0.91,21.26
2013-12-31,17.88,$0.80,22.49
2013-09-30,15.97,$0.58,27.53
2013-06-30,14.63,$0.30,49.59
2013-03-31,14.3,$0.31,46.9
2012-12-31,12.56,$0.36,34.89
2012-09-30,12.47,$0.53,23.75
2012-06-30,12.47,$0.78,15.99
2012-03-31,13.87,$0.83,16.71
2011-12-31,13.53,$0.95,14.32
2011-09-30,11.38,$1.01,11.27
2011-06-30,13.72,$1.08,12.7
2011-03-31,13.63,$1.07,12.74
2010-12-31,12.27,$0.96,12.78
2010-09-30,11.05,$0.89,12.42
2010-06-30,9.64,$0.74,13.02
2010-03-31,9.67,$0.58,16.67
2009-12-31,9.85,$0.44,22.38
