Prudential Financial PE Ratio Historical Data,Prudential Financial PE Ratio Historical Data,Prudential Financial PE Ratio Historical Data,Prudential Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,110.78,,14.83
2024-12-31,118.53,$7.47,15.87
2024-09-30,119.85,$11.25,10.65
2024-06-30,114.66,$7.78,14.74
2024-03-31,113.61,$5.88,19.32
2023-12-31,99.16,$6.69,14.82
2023-09-30,89.54,$1.55,57.77
2023-06-30,82.12,$3.00,27.37
2023-03-31,75.87,$0.09,842.96
2022-12-31,90.09,$-3.94,0.0
2022-09-30,76.84,$0.72,106.72
2022-06-30,84.68,$5.40,15.68
2022-03-31,103.36,$12.33,8.38
2021-12-31,93.7,$19.41,4.83
2021-09-30,90.11,$18.31,4.92
2021-06-30,86.81,$18.11,4.79
2021-03-31,76.35,$6.59,11.59
2020-12-31,64.52,$-1.09,0.0
2020-09-30,51.75,$-0.36,0.0
2020-06-30,48.84,$-0.62,0.0
2020-03-31,41.01,$7.21,5.69
2019-12-31,72.89,$10.13,7.19
2019-09-30,69.2,$9.36,7.39
2019-06-30,76.77,$9.82,7.82
2019-03-31,69.13,$8.57,8.07
2018-12-31,60.71,$9.49,6.4
2018-09-30,74.68,$16.11,4.64
2018-06-30,68.3,$17.30,3.95
2018-03-31,74.96,$17.96,4.17
2017-12-31,82.55,$17.91,4.61
2017-09-30,75.81,$9.94,7.63
2017-06-30,76.55,$8.92,8.58
2017-03-31,74.97,$9.85,7.61
2016-12-31,72.64,$9.69,7.5
2016-09-30,56.6,$10.65,5.31
2016-06-30,49.0,$9.74,5.03
2016-03-31,49.16,$10.72,4.59
2015-12-31,54.83,$12.16,4.51
2015-09-30,50.92,$7.87,6.47
2015-06-30,58.06,$5.70,10.19
2015-03-31,52.92,$4.89,10.82
2014-12-31,59.18,$3.11,19.03
2014-09-30,57.14,$4.86,11.76
2014-06-30,57.34,$5.94,9.65
2014-03-31,54.32,$2.59,20.97
2013-12-31,58.81,$-1.55,0.0
2013-09-30,49.44,$-1.07,0.0
2013-06-30,46.06,$-4.55,0.0
2013-03-31,36.99,$1.22,30.32
2012-12-31,33.2,$0.68,48.82
2012-09-30,32.86,$2.40,13.69
2012-06-30,29.19,$6.87,4.25
2012-03-31,38.21,$3.91,9.77
2011-12-31,30.21,$7.19,4.2
2011-09-30,27.43,$6.37,4.31
2011-06-30,37.22,$5.78,6.44
2011-03-31,36.04,$5.79,6.22
2010-12-31,34.36,$5.74,5.99
2010-09-30,31.05,$9.10,3.41
2010-06-30,30.75,$8.98,3.42
2010-03-31,34.67,$8.54,4.06
2009-12-31,28.51,$7.39,3.86
