Monolithic Power Systems PE Ratio Historical Data,Monolithic Power Systems PE Ratio Historical Data,Monolithic Power Systems PE Ratio Historical Data,Monolithic Power Systems PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,609.02,,16.56
2024-12-31,591.7,$36.77,16.09
2024-09-30,924.5,$8.87,104.23
2024-06-30,820.57,$8.40,97.69
2024-03-31,675.48,$8.39,80.51
2023-12-31,627.81,$8.76,71.67
2023-09-30,459.1,$9.23,49.74
2023-06-30,535.65,$9.32,57.47
2023-03-31,495.37,$9.65,51.33
2022-12-31,349.26,$9.04,38.63
2022-09-30,358.17,$8.10,44.22
2022-06-30,377.73,$6.97,54.19
2022-03-31,476.79,$5.76,82.78
2021-12-31,483.56,$5.06,95.57
2021-09-30,474.5,$4.45,106.63
2021-06-30,365.16,$4.19,87.15
2021-03-31,344.82,$3.67,93.96
2020-12-31,356.9,$3.49,102.26
2020-09-30,272.11,$3.29,82.71
2020-06-30,230.23,$2.75,83.72
2020-03-31,162.32,$2.56,63.41
2019-12-31,172.04,$2.37,72.59
2019-09-30,150.06,$2.28,65.82
2019-06-30,130.59,$2.35,55.57
2019-03-31,129.92,$2.45,53.03
2018-12-31,111.14,$2.36,47.09
2018-09-30,119.7,$2.02,59.26
2018-06-30,127.16,$1.85,68.73
2018-03-31,109.89,$1.65,66.6
2017-12-31,106.37,$1.49,71.39
2017-09-30,100.69,$1.61,62.54
2017-06-30,90.93,$1.41,64.49
2017-03-31,86.7,$1.33,65.19
2016-12-31,76.96,$1.25,61.56
2016-09-30,75.43,$1.10,68.57
2016-06-30,63.86,$1.04,61.4
2016-03-31,59.3,$0.96,61.77
2015-12-31,59.18,$0.86,68.81
2015-09-30,47.41,$0.84,56.44
2015-06-30,46.77,$0.84,55.68
2015-03-31,48.37,$0.81,59.72
2014-12-31,45.53,$0.89,51.15
2014-09-30,40.2,$0.86,46.74
2014-06-30,38.52,$0.77,50.02
2014-03-31,35.14,$0.75,46.85
2013-12-31,31.41,$0.59,53.24
2013-09-30,27.44,$0.41,66.93
2013-06-30,21.85,$0.38,57.5
2013-03-31,22.09,$0.42,52.58
2012-12-31,20.19,$0.43,46.96
2012-09-30,17.1,$0.49,34.9
2012-06-30,17.19,$0.49,35.08
2012-03-31,17.03,$0.41,41.55
2011-12-31,13.05,$0.38,34.34
2011-09-30,8.82,$0.41,21.5
2011-06-30,13.35,$0.60,22.26
2011-03-31,12.29,$0.67,18.34
2010-12-31,14.31,$0.79,18.11
2010-09-30,14.14,$0.81,17.46
2010-06-30,15.47,$0.80,19.33
2010-03-31,19.31,$0.72,26.82
2009-12-31,20.76,$0.53,39.16
