Streamline Health Solutions PE Ratio Historical Data,Streamline Health Solutions PE Ratio Historical Data,Streamline Health Solutions PE Ratio Historical Data,Streamline Health Solutions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.15,,0.0
2024-10-31,2.23,$-2.41,0.0
2024-07-31,7.74,$-4.95,0.0
2024-04-30,4.49,$-4.80,0.0
2024-01-31,5.85,$-4.80,0.0
2023-10-31,6.47,$-5.10,0.0
2023-07-31,20.1,$-3.00,0.0
2023-04-30,26.4,$-3.45,0.0
2023-01-31,32.4,$-3.60,0.0
2022-10-31,27.0,$-3.00,0.0
2022-07-31,23.11,$-3.45,0.0
2022-04-30,22.8,$-2.40,0.0
2022-01-31,20.55,$-2.40,0.0
2021-10-31,24.6,$-3.00,0.0
2021-07-31,24.3,$-2.10,0.0
2021-04-30,31.65,$-2.70,0.0
2021-01-31,27.75,$-0.00,0.0
2020-10-31,20.85,$-0.60,0.0
2020-07-31,18.6,$-0.15,0.0
2020-04-30,14.55,$-0.00,0.0
2020-01-31,16.5,$-1.65,0.0
2019-10-31,18.83,$-2.85,0.0
2019-07-31,20.25,$-3.15,0.0
2019-04-30,15.0,$-3.90,0.0
2019-01-31,18.6,$-4.50,0.0
2018-10-31,13.8,$-2.10,0.0
2018-07-31,18.75,$-1.65,0.0
2018-04-30,21.6,$-1.35,0.0
2018-01-31,26.7,$-2.40,0.0
2017-10-31,25.5,$-3.15,0.0
2017-07-31,15.9,$-4.65,0.0
2017-04-30,21.3,$-4.65,0.0
2017-01-31,22.05,$-4.65,0.0
2016-10-31,26.25,$-5.25,0.0
2016-07-31,21.9,$-4.35,0.0
2016-04-30,22.05,$-4.20,0.0
2016-01-31,24.9,$-4.50,0.0
2015-10-31,29.25,$-7.35,0.0
2015-07-31,38.7,$-8.85,0.0
2015-04-30,33.9,$-10.20,0.0
2015-01-31,60.3,$-10.79,0.0
2014-10-31,58.65,$-8.70,0.0
2014-07-31,75.0,$-14.09,0.0
2014-04-30,75.0,$-13.04,0.0
2014-01-31,90.6,$-14.24,0.0
2013-10-31,122.25,$-21.59,0.0
2013-07-31,111.75,$-11.84,0.0
2013-04-30,93.9,$-11.39,0.0
2013-01-31,81.45,$-7.05,0.0
2012-10-31,85.8,$2.40,35.77
2012-07-31,65.1,$0.60,108.55
2012-04-30,26.78,$1.20,22.32
2012-01-31,24.75,0,0.0
2011-10-31,22.5,$-2.85,0.0
2011-07-31,29.85,$-3.15,0.0
2011-04-30,27.6,$-3.30,0.0
2011-01-31,27.9,$-4.80,0.0
2010-10-31,19.05,$0.60,31.77
2010-07-31,18.6,$0.00,0.0
2010-04-30,28.95,$0.15,193.13
2010-01-31,33.15,$2.10,15.79
2009-10-31,35.25,$-0.75,0.0
