Hurco PE Ratio Historical Data,Hurco PE Ratio Historical Data,Hurco PE Ratio Historical Data,Hurco PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,15.87,,0.0
2025-01-31,21.49,$-2.98,0.0
2024-10-31,21.01,$-2.56,0.0
2024-07-31,17.2,$-1.97,0.0
2024-04-30,18.1,$-0.46,0.0
2024-01-31,23.92,$0.21,113.89
2023-10-31,19.69,$0.66,29.84
2023-07-31,22.77,$0.52,43.79
2023-04-30,21.77,$0.66,32.98
2023-01-31,27.2,$0.90,30.22
2022-10-31,22.2,$1.23,18.05
2022-07-31,24.13,$1.32,18.28
2022-04-30,26.87,$1.37,19.61
2022-01-31,30.36,$1.43,21.23
2021-10-31,30.44,$1.00,30.44
2021-07-31,31.7,$0.15,211.32
2021-04-30,31.95,$0.24,133.14
2021-01-31,27.25,$-0.70,0.0
2020-10-31,27.52,$-0.93,0.0
2020-07-31,25.46,$-0.08,0.0
2020-04-30,29.85,$0.11,271.36
2020-01-31,28.44,$1.45,19.61
2019-10-31,31.51,$2.55,12.36
2019-07-31,30.85,$3.46,8.92
2019-04-30,35.37,$3.90,9.07
2019-01-31,34.39,$3.69,9.32
2018-10-31,36.42,$3.15,11.56
2018-07-31,39.5,$2.93,13.48
2018-04-30,39.32,$2.56,15.36
2018-01-31,40.07,$2.55,15.71
2017-10-31,39.62,$2.25,17.61
2017-07-31,29.1,$1.70,17.12
2017-04-30,25.53,$1.52,16.8
2017-01-31,26.85,$1.54,17.44
2016-10-31,22.93,$1.99,11.52
2016-07-31,23.23,$2.26,10.28
2016-04-30,28.16,$2.41,11.68
2016-01-31,23.41,$2.45,9.56
2015-10-31,23.23,$2.44,9.52
2015-07-31,26.98,$2.46,10.97
2015-04-30,27.83,$2.57,10.83
2015-01-31,30.09,$2.51,11.99
2014-10-31,32.99,$2.30,14.34
2014-07-31,27.44,$1.85,14.83
2014-04-30,22.73,$1.32,17.22
2014-01-31,22.04,$1.26,17.49
2013-10-31,20.78,$1.24,16.76
2013-07-31,24.14,$1.58,15.28
2013-04-30,22.68,$2.06,11.01
2013-01-31,25.09,$2.03,12.36
2012-10-31,19.43,$2.40,8.09
2012-07-31,17.24,$2.18,7.91
2012-04-30,22.26,$2.27,9.81
2012-01-31,19.92,$2.18,9.14
2011-10-31,22.08,$1.71,12.91
2011-07-31,24.87,$1.12,22.21
2011-04-30,27.47,$0.24,114.47
2011-01-31,21.43,$-0.36,0.0
2010-10-31,15.55,$-0.89,0.0
2010-07-31,14.27,$-0.89,0.0
2010-04-30,16.45,$-0.90,0.0
2010-01-31,14.17,$-0.70,0.0
2009-10-31,13.44,$-0.36,0.0
