Flushing Financial PE Ratio Historical Data,Flushing Financial PE Ratio Historical Data,Flushing Financial PE Ratio Historical Data,Flushing Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.15,,0.0
2024-12-31,14.28,$-1.01,0.0
2024-09-30,14.4,$0.87,16.55
2024-06-30,12.78,$0.89,14.35
2024-03-31,12.03,$1.00,12.03
2023-12-31,15.45,$1.05,14.72
2023-09-30,12.14,$1.12,10.83
2023-06-30,11.18,$1.56,7.16
2023-03-31,13.29,$2.08,6.39
2022-12-31,17.08,$2.49,6.86
2022-09-30,16.89,$2.73,6.19
2022-06-30,18.34,$2.78,6.6
2022-03-31,19.1,$2.58,7.4
2021-12-31,20.57,$2.60,7.91
2021-09-30,18.96,$2.13,8.9
2021-06-30,17.81,$1.82,9.79
2021-03-31,17.49,$1.84,9.51
2020-12-31,13.59,$1.19,11.42
2020-09-30,8.48,$1.53,5.54
2020-06-30,9.12,$1.40,6.52
2020-03-31,10.38,$1.14,9.11
2019-12-31,16.54,$1.44,11.49
2019-09-30,15.32,$1.43,10.71
2019-06-30,16.66,$1.67,9.98
2019-03-31,16.29,$1.78,9.15
2018-12-31,15.85,$1.92,8.25
2018-09-30,17.8,$1.69,10.53
2018-06-30,18.89,$1.43,13.21
2018-03-31,19.37,$1.39,13.94
2017-12-31,19.62,$1.42,13.82
2017-09-30,21.07,$1.71,12.32
2017-06-30,19.85,$1.73,11.47
2017-03-31,18.8,$2.34,8.03
2016-12-31,20.43,$2.25,9.08
2016-09-30,16.39,$2.15,7.62
2016-06-30,13.63,$2.16,6.31
2016-03-31,14.71,$1.62,9.08
2015-12-31,14.61,$1.59,9.19
2015-09-30,13.41,$1.57,8.54
2015-06-30,13.96,$1.57,8.89
2015-03-31,13.23,$1.45,9.12
2014-12-31,13.25,$1.49,8.89
2014-09-30,11.86,$1.51,7.85
2014-06-30,13.23,$1.45,9.12
2014-03-31,13.46,$1.38,9.76
2013-12-31,13.13,$1.26,10.42
2013-09-30,11.63,$1.16,10.03
2013-06-30,10.3,$1.15,8.96
2013-03-31,10.52,$1.11,9.47
2012-12-31,9.45,$1.12,8.43
2012-09-30,9.65,$1.09,8.85
2012-06-30,8.25,$1.11,7.43
2012-03-31,8.06,$1.12,7.2
2011-12-31,7.49,$1.15,6.52
2011-09-30,6.34,$1.16,5.47
2011-06-30,7.54,$1.31,5.76
2011-03-31,8.56,$1.27,6.74
2010-12-31,7.96,$1.27,6.27
2010-09-30,6.51,$1.14,5.71
2010-06-30,6.81,$0.99,6.88
2010-03-31,6.97,$0.94,7.42
2009-12-31,6.14,$0.94,6.53
