Sadot Group PE Ratio Historical Data,Sadot Group PE Ratio Historical Data,Sadot Group PE Ratio Historical Data,Sadot Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.97,,4.71
2024-12-31,3.79,$0.63,6.02
2024-09-30,4.24,$0.23,18.43
2024-06-30,3.82,$-1.40,0.0
2024-03-31,2.99,$-1.80,0.0
2023-12-31,4.01,$-2.10,0.0
2023-09-30,6.99,$-2.50,0.0
2023-06-30,11.9,$-1.80,0.0
2023-03-31,10.7,$-2.50,0.0
2022-12-31,9.1,$-2.80,0.0
2022-09-30,3.76,$-3.50,0.0
2022-06-30,3.85,$-3.00,0.0
2022-03-31,5.28,$-3.10,0.0
2021-12-31,7.2,$-5.50,0.0
2021-09-30,11.4,$-6.70,0.0
2021-06-30,14.0,$-7.40,0.0
2021-03-31,22.8,$-8.80,0.0
2020-12-31,17.5,$-14.10,0.0
