CIMG PE Ratio Historical Data,CIMG PE Ratio Historical Data,CIMG PE Ratio Historical Data,CIMG PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.52,,0.0
2024-06-30,1.6,$-7.37,0.0
2024-03-31,1.32,$-9.08,0.0
2023-12-31,2.54,$-10.60,0.0
2023-09-30,7.2,$-11.99,0.0
2023-06-30,9.59,$-13.56,0.0
2023-03-31,11.85,$-15.83,0.0
2022-12-31,8.65,$-19.32,0.0
2022-09-30,0.33,$-21.68,0.0
2022-06-30,1.01,$-23.43,0.0
2022-03-31,2.19,$-24.48,0.0
2021-12-31,4.14,$-32.17,0.0
2021-09-30,2.2,$-40.56,0.0
2021-06-30,3.15,$-33.92,0.0
2021-03-31,3.49,$-34.27,0.0
