Rockwell Medical PE Ratio Historical Data,Rockwell Medical PE Ratio Historical Data,Rockwell Medical PE Ratio Historical Data,Rockwell Medical PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.4,,0.0
2024-09-30,3.97,$-0.05,0.0
2024-06-30,1.76,$-0.17,0.0
2024-03-31,1.66,$-0.36,0.0
2023-12-31,1.89,$-0.40,0.0
2023-09-30,2.08,$-0.55,0.0
2023-06-30,5.46,$-0.88,0.0
2023-03-31,1.81,$-1.26,0.0
2022-12-31,1.02,$-2.00,0.0
2022-09-30,1.32,$-1.80,0.0
2022-06-30,1.29,$-2.28,0.0
2022-03-31,5.18,$-2.71,0.0
2021-12-31,4.51,$-2.75,0.0
2021-09-30,6.56,$-3.74,0.0
2021-06-30,10.01,$-3.96,0.0
2021-03-31,12.76,$-4.07,0.0
2020-12-31,11.11,$-4.51,0.0
2020-09-30,11.77,$-4.73,0.0
2020-06-30,21.45,$-4.95,0.0
2020-03-31,22.55,$-5.83,0.0
2019-12-31,26.84,$-6.16,0.0
2019-09-30,30.36,$-6.82,0.0
2019-06-30,33.11,$-6.60,0.0
2019-03-31,62.59,$-7.26,0.0
2018-12-31,24.86,$-7.04,0.0
2018-09-30,46.42,$-7.15,0.0
2018-06-30,54.23,$-7.15,0.0
2018-03-31,57.31,$-6.05,0.0
2017-12-31,64.02,$-5.61,0.0
2017-09-30,94.16,$-4.73,0.0
2017-06-30,87.23,$-4.62,0.0
2017-03-31,68.86,$-4.29,0.0
2016-12-31,72.05,$-4.40,0.0
2016-09-30,73.7,$-4.62,0.0
2016-06-30,83.27,$-4.18,0.0
2016-03-31,82.61,$-3.52,0.0
2015-12-31,112.64,$-3.19,0.0
2015-09-30,84.81,$-3.41,0.0
2015-06-30,177.32,$-3.96,0.0
2015-03-31,120.23,$-4.29,0.0
2014-12-31,113.08,$-5.72,0.0
2014-09-30,100.54,$-6.49,0.0
2014-06-30,131.89,$-9.13,0.0
2014-03-31,139.26,$-12.43,0.0
2013-12-31,114.84,$-18.15,0.0
2013-09-30,125.41,$-23.10,0.0
2013-06-30,39.71,$-28.82,0.0
2013-03-31,43.56,$-31.02,0.0
2012-12-31,88.55,$-29.04,0.0
2012-09-30,89.87,$-27.17,0.0
2012-06-30,102.41,$-20.79,0.0
2012-03-31,104.06,$-17.27,0.0
2011-12-31,93.17,$-13.20,0.0
2011-09-30,89.76,$-8.91,0.0
2011-06-30,141.24,$-6.27,0.0
2011-03-31,98.79,$-3.30,0.0
2010-12-31,86.9,$-1.65,0.0
2010-09-30,77.88,$-0.88,0.0
2010-06-30,58.85,$-1.65,0.0
2010-03-31,63.58,$-3.08,0.0
2009-12-31,84.59,$-4.18,0.0
