Atkore PE Ratio Historical Data,Atkore PE Ratio Historical Data,Atkore PE Ratio Historical Data,Atkore PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,63.93,,6.19
2024-12-31,83.45,$10.33,8.08
2024-09-30,84.44,$12.63,6.69
2024-06-30,134.0,$14.24,9.41
2024-03-31,188.66,$16.04,11.76
2023-12-31,158.26,$16.68,9.49
2023-09-30,147.57,$17.27,8.54
2023-06-30,154.24,$18.82,8.2
2023-03-31,138.95,$19.43,7.15
2022-12-31,112.18,$20.20,5.55
2022-09-30,76.96,$20.32,3.79
2022-06-30,82.11,$19.40,4.23
2022-03-31,97.37,$17.30,5.63
2021-12-31,109.98,$14.80,7.43
2021-09-30,85.97,$12.23,7.03
2021-06-30,70.23,$9.08,7.73
2021-03-31,71.12,$5.93,11.99
2020-12-31,40.66,$4.15,9.8
2020-09-30,22.48,$3.11,7.23
2020-06-30,27.05,$2.94,9.2
2020-03-31,20.84,$3.20,6.51
2019-12-31,40.02,$3.01,13.3
2019-09-30,30.02,$2.84,10.57
2019-06-30,25.59,$2.56,10.0
2019-03-31,21.3,$2.51,8.48
2018-12-31,19.62,$2.69,7.3
2018-09-30,26.24,$2.56,10.25
2018-06-30,20.54,$2.21,9.3
2018-03-31,19.63,$1.92,10.23
2017-12-31,21.22,$1.41,15.05
2017-09-30,19.3,$1.26,15.32
2017-06-30,22.3,$1.19,18.74
2017-03-31,25.99,$1.11,23.42
