Acumen Pharmaceuticals PE Ratio Historical Data,Acumen Pharmaceuticals PE Ratio Historical Data,Acumen Pharmaceuticals PE Ratio Historical Data,Acumen Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.18,,0.0
2024-09-30,2.48,$-1.38,0.0
2024-06-30,2.42,$-1.12,0.0
2024-03-31,4.05,$-1.06,0.0
2023-12-31,3.84,$-1.09,0.0
2023-09-30,4.15,$-1.12,0.0
2023-06-30,4.81,$-1.14,0.0
2023-03-31,4.06,$-1.11,0.0
2022-12-31,5.4,$-1.06,0.0
2022-09-30,10.03,$-0.74,0.0
2022-06-30,4.7,$-0.58,0.0
