Exp World Holdings PE Ratio Historical Data,Exp World Holdings PE Ratio Historical Data,Exp World Holdings PE Ratio Historical Data,Exp World Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.86,,0.0
2024-12-31,11.51,$-0.14,0.0
2024-09-30,14.03,$-0.22,0.0
2024-06-30,11.19,$-0.15,0.0
2024-03-31,10.21,$-0.17,0.0
2023-12-31,15.27,$-0.06,0.0
2023-09-30,15.92,$0.03,530.74
2023-06-30,19.83,$0.05,396.68
2023-03-31,12.37,$0.05,247.39
2022-12-31,10.76,$0.10,107.57
2022-09-30,10.84,$0.25,43.38
2022-06-30,11.36,$0.37,30.7
2022-03-31,20.37,$0.55,37.04
2021-12-31,32.37,$0.52,62.24
2021-09-30,38.17,$0.47,81.22
2021-06-30,37.18,$0.42,88.53
2021-03-31,43.68,$0.24,185.89
2020-12-31,30.27,$0.21,147.65
2020-09-30,19.34,$0.16,120.9
2020-06-30,8.18,$0.05,181.68
2020-03-31,4.06,$-0.03,0.0
2019-12-31,5.43,$-0.08,0.0
2019-09-30,4.02,$-0.13,0.0
2019-06-30,5.34,$-0.16,0.0
2019-03-31,5.21,$-0.15,0.0
