AGMs PE Ratio Historical Data,AGMs PE Ratio Historical Data,AGMs PE Ratio Historical Data,AGMs PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.08,,7.7
2024-06-30,0.57,$0.01,56.6
2021-09-30,8.88,$0.01,888.0
2021-06-30,10.44,0,0.0
2020-12-31,15.28,0,0.0
2020-09-30,15.64,0,0.0
2020-06-30,26.03,0,0.0
