CorMedix Inc PE Ratio Historical Data,CorMedix Inc PE Ratio Historical Data,CorMedix Inc PE Ratio Historical Data,CorMedix Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.86,,0.0
2024-09-30,8.08,$-0.81,0.0
2024-06-30,4.33,$-0.93,0.0
2024-03-31,4.24,$-0.93,0.0
2023-12-31,3.76,$-0.92,0.0
2023-09-30,3.7,$-0.86,0.0
2023-06-30,3.97,$-0.86,0.0
2023-03-31,4.14,$-0.80,0.0
2022-12-31,4.22,$-0.74,0.0
2022-09-30,2.83,$-0.74,0.0
2022-06-30,4.02,$-0.79,0.0
2022-03-31,5.48,$-0.72,0.0
2021-12-31,4.55,$-0.74,0.0
2021-09-30,4.65,$-0.73,0.0
2021-06-30,6.86,$-0.73,0.0
2021-03-31,9.99,$-0.75,0.0
2020-12-31,7.43,$-0.76,0.0
2020-09-30,6.03,$-0.78,0.0
2020-06-30,6.3,$-1.91,0.0
2020-03-31,3.59,$-1.80,0.0
2019-12-31,7.28,$-1.81,0.0
2019-09-30,6.38,$-1.50,0.0
2019-06-30,8.97,$-0.70,0.0
2019-03-31,9.45,$-1.17,0.0
2018-12-31,6.45,$-1.65,0.0
2018-09-30,4.84,$-2.50,0.0
2018-06-30,1.19,$-2.80,0.0
2018-03-31,0.91,$-2.80,0.0
2017-12-31,2.51,$-3.05,0.0
2017-09-30,2.6,$-3.10,0.0
2017-06-30,2.14,$-3.40,0.0
2017-03-31,8.15,$-3.55,0.0
2016-12-31,7.65,$-3.20,0.0
2016-09-30,12.6,$-2.95,0.0
2016-06-30,9.95,$-2.50,0.0
2016-03-31,13.25,$-2.50,0.0
2015-12-31,10.15,$-3.05,0.0
2015-09-30,9.95,$-2.95,0.0
2015-06-30,19.4,$-3.40,0.0
2015-03-31,49.2,$-3.00,0.0
2014-12-31,9.55,$-6.20,0.0
2014-09-30,9.4,$-6.85,0.0
2014-06-30,9.05,$-6.60,0.0
2014-03-31,12.55,$-7.10,0.0
2013-12-31,6.2,$-3.35,0.0
2013-09-30,4.61,$-2.75,0.0
2013-06-30,4.75,$-2.15,0.0
2013-03-31,4.05,$-1.65,0.0
2012-12-31,3.6,$-1.45,0.0
2012-09-30,1.31,$-0.80,0.0
2012-06-30,1.05,$-1.65,0.0
2012-03-31,2.33,$-2.50,0.0
2011-12-31,1.41,$-2.95,0.0
2011-09-30,4.55,$-3.35,0.0
2011-06-30,7.25,$-2.80,0.0
2011-03-31,8.95,$-2.20,0.0
