Preformed Line Products PE Ratio Historical Data,Preformed Line Products PE Ratio Historical Data,Preformed Line Products PE Ratio Historical Data,Preformed Line Products PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,148.54,,27.66
2024-12-31,127.79,$5.37,23.8
2024-09-30,127.87,$6.66,19.2
2024-06-30,124.13,$8.15,15.23
2024-03-31,128.05,$10.34,12.38
2023-12-31,133.0,$12.68,10.49
2023-09-30,161.54,$14.67,11.01
2023-06-30,154.91,$14.00,11.06
2023-03-31,126.9,$12.69,10.0
2022-12-31,82.21,$10.90,7.54
2022-09-30,70.23,$9.41,7.46
2022-06-30,60.53,$9.20,6.58
2022-03-31,62.02,$8.23,7.54
2021-12-31,63.28,$7.19,8.8
2021-09-30,63.41,$5.93,10.69
2021-06-30,72.12,$6.37,11.32
2021-03-31,66.64,$6.68,9.98
2020-12-31,66.15,$5.97,11.08
2020-09-30,46.95,$6.53,7.19
2020-06-30,48.0,$5.49,8.74
2020-03-31,47.64,$4.94,9.64
2019-12-31,57.46,$4.56,12.6
2019-09-30,51.81,$4.49,11.54
2019-06-30,52.5,$4.70,11.17
2019-03-31,49.84,$4.47,11.15
2018-12-31,50.92,$5.20,9.79
2018-09-30,65.79,$4.32,15.23
2018-06-30,83.11,$3.79,21.93
2018-03-31,60.8,$3.27,18.59
2017-12-31,66.16,$2.48,26.68
2017-09-30,62.49,$3.33,18.77
2017-06-30,42.98,$3.02,14.23
2017-03-31,48.07,$2.74,17.55
2016-12-31,53.36,$2.95,18.09
2016-09-30,38.59,$2.54,15.19
2016-06-30,36.79,$1.66,22.16
2016-03-31,33.1,$1.81,18.29
2015-12-31,37.95,$1.25,30.36
2015-09-30,33.33,$1.13,29.49
2015-06-30,33.65,$1.57,21.44
2015-03-31,37.39,$1.83,20.43
2014-12-31,48.27,$2.38,20.28
2014-09-30,46.45,$2.50,18.58
2014-06-30,47.21,$3.14,15.04
2014-03-31,59.9,$3.37,17.77
2013-12-31,63.75,$3.78,16.87
2013-09-30,62.51,$4.18,14.95
2013-06-30,57.47,$4.77,12.05
2013-03-31,60.46,$4.81,12.57
2012-12-31,51.34,$5.40,9.51
2012-09-30,46.63,$6.09,7.66
2012-06-30,49.54,$5.62,8.81
2012-03-31,55.83,$5.96,9.37
2011-12-31,50.7,$5.76,8.8
2011-09-30,38.79,$5.22,7.43
2011-06-30,60.03,$5.81,10.33
2011-03-31,58.17,$5.39,10.79
2010-12-31,49.07,$4.30,11.41
2010-09-30,29.14,$5.16,5.65
2010-06-30,23.22,$4.52,5.14
2010-03-31,31.48,$4.07,7.73
2009-12-31,35.95,$4.37,8.23
