KB Home PE Ratio Historical Data,KB Home PE Ratio Historical Data,KB Home PE Ratio Historical Data,KB Home PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,61.27,,7.23
2024-11-30,82.74,$8.47,9.77
2024-08-31,83.44,$7.80,10.7
2024-05-31,70.16,$7.56,9.28
2024-02-29,65.78,$7.35,8.95
2023-11-30,51.41,$7.04,7.3
2023-08-31,49.94,$7.66,6.52
2023-05-31,42.44,$8.72,4.87
2023-02-28,34.43,$9.10,3.78
2022-11-30,30.52,$9.12,3.35
2022-08-31,27.71,$8.56,3.24
2022-05-31,33.2,$7.30,4.55
2022-02-28,37.01,$6.48,5.71
2021-11-30,38.2,$6.03,6.33
2021-08-31,40.95,$5.24,7.82
2021-05-31,44.39,$4.47,9.93
2021-02-28,38.18,$3.52,10.85
2020-11-30,33.16,$3.13,10.59
2020-08-31,33.53,$3.32,10.1
2020-05-31,30.94,$3.22,9.61
2020-02-29,30.38,$3.18,9.55
2019-11-30,32.15,$2.86,11.24
2019-08-31,26.05,$2.51,10.38
2019-05-31,23.23,$2.65,8.76
2019-02-28,21.06,$2.71,7.77
2018-11-30,19.26,$1.58,12.19
2018-08-31,22.65,$1.46,15.51
2018-05-31,23.98,$1.10,21.8
2018-02-28,25.24,$0.86,29.35
2017-11-30,28.5,$1.83,15.58
2017-08-31,19.43,$1.39,13.98
2017-05-31,19.03,$1.30,14.64
2017-02-28,16.08,$1.14,14.11
2016-11-30,14.33,$1.13,12.68
2016-08-31,14.18,$1.16,12.22
2016-05-31,12.57,$0.97,12.96
2016-02-29,10.98,$0.90,12.2
2015-11-30,12.65,$0.84,15.06
2015-08-31,13.13,$8.77,1.5
2015-05-31,13.22,$8.82,1.5
2015-02-28,12.46,$8.99,1.39
2014-11-30,15.66,$9.03,1.73
2014-08-31,15.8,$0.98,16.12
2014-05-31,14.64,$1.00,14.64
2014-02-28,18.1,$0.69,26.23
2013-11-30,15.53,$0.41,37.88
2013-08-31,14.18,$0.20,70.91
2013-05-31,19.58,$-0.06,0.0
2013-02-28,16.49,$-0.33,0.0
2012-11-30,12.65,$-0.76,0.0
2012-08-31,9.71,$-0.68,0.0
2012-05-31,6.36,$-0.85,0.0
2012-02-29,9.99,$-1.43,0.0
2011-11-30,6.39,$-2.33,0.0
2011-08-31,5.68,$-2.28,0.0
2011-05-31,10.5,$-2.17,0.0
2011-02-28,11.27,$-1.68,0.0
2010-11-30,9.57,$-0.90,0.0
2010-08-31,8.68,$0.18,48.24
2010-05-31,12.13,$-0.67,0.0
2010-02-28,13.59,$-1.30,0.0
2009-11-30,11.27,$-1.34,0.0
